ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,SG081X9AA,KNOB Gearshift,,"2008-2010, 1999-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,discontinued,,,,,/parts/mopar-knob-gearshift~sg081x9aa.html
2,XP181X9AA,BEZEL Console Shifter,,"2008, 2003-2006","COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,discontinued,,,,,/parts/mopar-bezel-console-shifter~xp181x9aa.html
3,5029529AA,ASH RECEIVER Floor Console,,"2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,5108051AA,,,available,92.2,62.38,3.7 x 3.8 x 2.3 inches,0.60 Pounds,/parts/mopar-ashtray-floor-console~5029529aa.html
5,124934,NUT Hex Jam .50-20,,"2013-2017, 2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,8.75,6.06,3.1 x 0.8 x 0.3 inches,0.60 Pounds,/parts/mopar-nut-hex-jam~124934.html
7,5037319AA,BOOT Gearshift,,"2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,5038653AA,,,discontinued,,,6.8 x 5.4 x 2.5 inches,0.80 Pounds,/parts/mopar-boot-gearshift~5037319aa.html
9,4709410,ISOLATOR Shift Lever,,"2013-2017, 2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,discontinued,,,5.8 x 4.3 x 2.1 inches,1.30 Pounds,/parts/mopar-handle-shift-lever~4709410.html
11,XP191BNAA,BOOT Gearshift,,"2008, 2006","COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,With [JND],available,137.69,108.21,6.3 x 6.2 x 1.4 inches,0.50 Pounds,/parts/mopar-boot-gearshift~xp191bnaa.html
11,XP191XRAA,BOOT Gearshift,,"2008, 2004-2006","COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,Without [JND],discontinued,,,6.3 x 6.5 x 2.3 inches,0.60 Pounds,/parts/mopar-boot-gearshift~xp191xraa.html
12,XP201X9AA,BOOT Parking Brake Lever,,2003-2006,"COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.3L,,,,"XP201XAAA, XP201AAAA",,available,218,142.88,8.0 x 4.2 x 1.2 inches,0.50 Pounds,/parts/mopar-boot-parking-brake-lever~xp201x9aa.html
14,5093230AA,RING,,"2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,discontinued,,,9.1 x 8.2 x 4.0 inches,2.90 Pounds,/parts/mopar-ring~5093230aa.html
16,4608633AD,SWITCH,,"2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,4608633AC,,discontinued,,,3.7 x 2.6 x 1.9 inches,0.50 Pounds,/parts/mopar-switch-folding-top~4608633ad.html
17,5093227AA,HOUSING Switch,,"2008, 2003-2006","COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,discontinued,,,3.9 x 2.3 x 1.1 inches,0.40 Pounds,/parts/mopar-housing-switch~5093227aa.html
,5029097AD,BASE Cigar Lighter,,2004-2006,"COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.3L,,,,,,discontinued,,,4.4 x 3.8 x 1.8 inches,0.60 Pounds,/parts/mopar-lighter-cigar-lighter~5029097ad.html
,5093298AA,SCREW Cap,,"2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,discontinued,,,0.8 x 0.4 x 0.4 inches,0.40 Pounds,/parts/mopar-screw-cap~5093298aa.html
