ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,4389440,CAP Wiper Arm Nut,,"2013-2017, 2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,,,available,28.9,20.15,1.0 x 1.0 x 0.5 inches,0.40 Pounds,/parts/mopar-cap-wiper-arm-nut~4389440.html
2,6104716AA,NUT,,"2013-2017, 2008-2010, 2005-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,6104716AB,,available,4.2,2.91,0.9 x 0.9 x 0.7 inches,0.50 Pounds,/parts/mopar-nut-hex-flange-lock~6104716aa.html
3,4865504AE,ARM Wiper,Right,"2013-2017, 2008-2010, 2004-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,4865504AB,,discontinued,,,18.6 x 1.3 x 2.7 inches,1.00 Pounds,/parts/mopar-arm-wiper-front-wiper~4865504ae.html
4,4865507AB,BLADE WIPER,Left,"2008-2010, 2004-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,68166573AA,,,discontinued,,,26.5 x 6.2 x 6.2 inches,1.20 Pounds,/parts/mopar-blade-front-wiper~4865507ab.html
5,4865509AD,MODULE Wiper,,"2008-2010, 2004-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,4865509AC,,available,456,425.93,,9.20 Pounds,/parts/mopar-wiperassy-windshield~4865509ad.html
6,6503992,SCREW AND WASHER Hex Head M6x1x30,,"2013-2017, 2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,,,available,8.9,6.17,1.0 x 1.0 x 1.4 inches,0.80 Pounds,/parts/mopar-screw-hex-head~6503992.html
7,6503664,NUT AND WASHER Hex Nut-Coned Washer M6 x 1.00,,"2013, 2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT GTS, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,6508187AA,,available,9.15,3.26,1.0 x 1.0 x 0.4 inches,0.50 Pounds,/parts/mopar-nut-washe-hex~6503664.html
8,4865497AA,HOSE Windshield Washer,,"2013-2015, 2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,32.9,22.25,9.4 x 7.9 x 1.1 inches,1.20 Pounds,/parts/mopar-hose-windshield-washer~4865497aa.html
9,55077551AA,NOZZLE Windshield washer,,"2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,,,available,17,15.15,1.9 x 1.1 x 1.1 inches,0.40 Pounds,/parts/mopar-nozzle-windshield-washer~55077551aa.html
11,UC23RXFAC,SCREEN Cowl Top,Left,"2008-2010, 2004-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,UC23RXFAD,,,discontinued,,,73.4 x 31.8 x 4.5 inches,3.70 Pounds,/parts/mopar-panel-cowl-top~uc23rxfac.html
13,4630249,CAP Washer Reservoir,,"2013-2017, 2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,discontinued,,,3.7 x 2.6 x 1.9 inches,0.50 Pounds,/parts/mopar-cap-washer-reservoir~4630249.html
14,6102050AA,SCREW Hex Flange Head M6.3 x 1.81 x 15.00,,"2013-2014, 2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT GTS, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,4.2,2.85,0.9 x 0.6 x 0.6 inches,0.40 Pounds,/parts/mopar-screw-hex-flange-head~6102050aa.html
15,HWV00532AB,"HOSE 1FT Windshield Washer 5/32""",,"2013-2014, 2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT GTS, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",8,1,HWV00532AC,,,available,23,15.9,13.0 x 13.2 x 2.9 inches,2.30 Pounds,/parts/mopar-hose-windshield-washer~hwv00532ab.html
,5011809AA,GROMMET Windshield Washer Pump,,"2013-2017, 2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,18.7,13.05,1.3 x 1.1 x 1.0 inches,0.40 Pounds,/parts/mopar-grommet-windshield-washer-pump~5011809aa.html
