ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,68026794AA,ENGINE Short Block,,2008-2009,"COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,,,RL026794AB,,,available,13515,11201,34.0 x 30.9 x 30.4 inches,325.20 Pounds,/parts/mopar-block-short-block~68026794aa.html
2,J4005149,DOWEL PIN .620Dx.50,,"2013-2017, 2008-2010, 1997-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",6,1,,,Mounting Main Cap To Cylinder Block,available,15.7,10.83,1.0 x 1.0 x 0.8 inches,0.40 Pounds,/parts/mopar-pin~j4005149.html
3,4429678,DOWEL PIN,,"2013-2017, 2008-2010, 1997-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,,,available,50.95,35.42,0.9 x 0.9 x 0.8 inches,0.40 Pounds,/parts/mopar-dowel-pin~4429678.html
4,5037796AA,CONTROL VALVE Oil Exhaust,,2008-2010,"ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,,,5037796AB,,,available,265,214.88,3.7 x 0.5 x 0.5 inches,0.80 Pounds,/parts/mopar-valve-oil-exhaust~5037796aa.html
5,6101826,BOLT Hex Head M6x1.00x20.00,,"2013-2017, 2008-2010, 2003-2005","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,8.75,6.06,1.0 x 0.6 x 0.6 inches,0.60 Pounds,/parts/mopar-bolt-hex-head~6101826.html
6,4663941AB,PLUG Core [1 Inch Diameter],,"2013-2017, 2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,4663941,,available,7.05,4.78,0.6 x 1.2 x 1.2 inches,0.40 Pounds,/parts/mopar-plug-core~4663941ab.html
7,6036308AA,PLUG Core [.375-18x.475],,"2013-2017, 2008-2009, 2003-2006","COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",5,1,,,,available,4.7,3.2,0.5 x 0.4 x 0.8 inches,0.40 Pounds,/parts/mopar-plug-pipe~6036308aa.html
8,6036543AA,PLUG Pipe [.125-27x.310],,"2013-2017, 2008-2010, 2004-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",3,1,,6036020AA,,available,3.4,2.27,0.3 x 0.4 x 0.4 inches,0.50 Pounds,/parts/mopar-plug-pipe~6036543aa.html
9,5245055,DOWEL PIN [10MM],,"2008-2010, 2000-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,,,available,,14.51,0.6 x 0.6 x 0.4 inches,0.50 Pounds,/parts/mopar-dowel-pin~5245055.html
10,5038010AB,RETAINER Crankshaft Rear Oil Seal Includes Gasket And Oil Seal,,"2013, 2008-2010","ACR-X Coupe, COMP. Coupe, SRT, SRT GTS, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,,,5045562AA,,,available,501,338.58,22.3 x 15.6 x 1.2 inches,1.70 Pounds,/parts/mopar-seal-crankshaft-rear-oil-seal~5038010ab.html
