ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,TU03DX9AE,CARPET Front Floor,,2008,"COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,,,TU03DX9AF,,,available,502,428.64,26.5 x 34.8 x 12.2 inches,10.30 Pounds,/parts/mopar-carpet-front-floor~tu03dx9ae.html
2,TU02DX9AC,CARPET Front Floor,,"2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,TU02DX9AB,,discontinued,,,66.6 x 29.8 x 2.3 inches,8.90 Pounds,/parts/mopar-carpet-front-floor~tu02dx9ac.html
6,5290331AB,CAP,,"2013-2017, 2008-2010, 2004-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,,,available,,3.93,,0.70 Pounds,/parts/mopar-plug~5290331ab.html
7,6101630,SCREW,,"2013-2017, 2008-2010, 2005-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,,,available,1.9,1.28,,0.40 Pounds,/parts/mopar-screw-hex-head~6101630.html
8,5290332AA,RETAINER,,"2013-2017, 2008-2010, 2004-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,,,available,,3.93,5.5 x 5.3 x 0.1 inches,1.30 Pounds,/parts/mopar-retainer~5290332aa.html
9,5290365AB,WASHER,,"2013-2017, 2008-2010, 2004-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,,,available,5.7,4.01,0.6 x 0.6 x 0.1 inches,0.50 Pounds,/parts/mopar-washer-none~5290365ab.html
10,4865929AD,FOOTREST,,"2008-2010, 2004-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,4865929AF,,,available,122,99.09,9.0 x 8.2 x 3.9 inches,1.50 Pounds,/parts/mopar-footrest~4865929ad.html
11,5290322AB,SPACER,,"2013-2017, 2008-2010","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,2,1,,,,available,6.45,4.95,10.5 x 2.7 x 0.1 inches,1.20 Pounds,/parts/mopar-spacer~5290322ab.html
,5029434AA,INSULATOR,,"2008-2010, 2005-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",3,1,,,,available,21,13.98,10.4 x 3.1 x 0.2 inches,0.70 Pounds,/parts/mopar-insulator~5029434aa.html
,5029435AA,INSULATOR Floor carpet lt,,"2008-2010, 2005-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,24.2,16.89,10.3 x 7.0 x 0.1 inches,0.60 Pounds,/parts/mopar-insulator-floor-carpet-lt~5029435aa.html
