ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,68028433AA,BUSHING Reverse Rail,,"2013, 2008-2010","ACR-X Coupe, COMP. Coupe, SRT, SRT GTS, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,,,4626512,,,available,6.2,4.19,0.7 x 0.7 x 0.5 inches,0.50 Pounds,/parts/mopar-bushing-reverse-rail~68028433aa.html
2,4626493,PIN Roll,,"2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",5,1,,,,available,3.95,2.68,1.0 x 0.4 x 0.4 inches,0.50 Pounds,/parts/mopar-pin-roll~4626493.html
3,5086732AA,LEVER,,"2013, 2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT GTS, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,9.75,8.55,,0.50 Pounds,/parts/mopar-lever~5086732aa.html
4,68028349AA,RAIL Reverse Shift,,"2013-2017, 2008-2010","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,,,,,,available,279,185.63,11.2 x 4.6 x 4.7 inches,2.60 Pounds,/parts/mopar-rail-reverse-shift~68028349aa.html
5,68045187AA,SNAP RING Shift Fork,,2008-2010,"ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,,,,,,available,1.5,1.05,,0.50 Pounds,/parts/mopar-snap-ring-shift-fork~68045187aa.html
6,4626512,BUSHING Shift Rail,,"2013-2017, 2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",,,,68028433AA,,available,6.2,4.19,0.7 x 0.7 x 0.5 inches,0.50 Pounds,/parts/mopar-bushing-shift-rail~4626512.html
7,4626496,PAD Shift Fork,,"2013-2017, 2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,7.8,5.3,0.6 x 0.3 x 0.3 inches,0.60 Pounds,/parts/mopar-fork-shift-fork~4626496.html
8,68028954AA,FORK Fifth and Sixth,,2008,"COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,,,68028954AB,,,available,161,107.16,7.0 x 6.3 x 2.4 inches,0.50 Pounds,/parts/mopar-fork-fifth-and-sixth~68028954aa.html
9,4626496,PAD Shift Fork,,"2013-2017, 2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,7.8,5.3,0.6 x 0.3 x 0.3 inches,0.60 Pounds,/parts/mopar-fork-shift-fork~4626496.html
10,4626542,SNAP RING Shift Fork,,"2013-2017, 2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,7.2,4.89,1.1 x 1.1 x 0.8 inches,0.50 Pounds,/parts/mopar-retainer-shift-fork~4626542.html
