ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,5191197AA,NUT Pinion,,"2013-2017, 2008-2010, 2003-2006, 1992-1996","ACR-X Coupe, COMP. Coupe, GTS Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",,,,1795173,,available,,14.51,0.9 x 1.6 x 1.7 inches,0.50 Pounds,/parts/mopar-nut-pinion~5191197aa.html
2,1795175,WASHER Pinion,,"2013-2017, 2008-2010, 2003-2006, 1992-1996","ACR-X Coupe, COMP. Coupe, GTS Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,7,4.83,1.5 x 1.5 x 0.1 inches,0.40 Pounds,/parts/mopar-washer-pinion~1795175.html
3,5093385AA,YOKE Drive Shaft,,"2013-2017, 2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,111,94.03,5.8 x 4.8 x 4.7 inches,2.40 Pounds,/parts/mopar-yoke-drive-shaft~5093385aa.html
4,5019843AA,SEAL Drive Pinion,,"2013-2017, 2008-2010, 2001-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,discontinued,,,3.6 x 3.6 x 0.6 inches,0.60 Pounds,/parts/mopar-seal-drive-pinion~5019843aa.html
5,4856368,SHIM KIT Pinion Shaft 0.035 to 0.039,,"2013-2017, 2008-2010, 2005-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,105,66.67,2.1 x 2.1 x 0.3 inches,0.50 Pounds,/parts/mopar-shim-kit-pinion-shaft~4856368.html
9,4626696,SEAL Axle Drive Shaft,,"2013-2017, 2008-2010, 2000-2006, 1992-1996","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,,,available,35.05,24.35,4.0 x 4.2 x 0.2 inches,1.40 Pounds,/parts/mopar-seal-axle-drive-shaft~4626696.html
10,4864214,SPACER Drive Pinion Bearing,,"2013-2017, 2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,32.3,22.37,2.0 x 2.0 x 2.9 inches,0.70 Pounds,/parts/mopar-spacer-drive-pinion-bearing~4864214.html
11,5093384AA,GEAR KIT Ring And Pinion,,"2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,556,447.7,11.2 x 11.3 x 5.4 inches,17.40 Pounds,/parts/mopar-gear-kit-ring-and-pinion~5093384aa.html
12,5038236AC,CASE Differential,,"2013-2015, 2009-2010","ACR-X Coupe, COMP. Coupe, SRT, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,,,5038236AF,,,available,4735,3118.5,18.9 x 9.4 x 9.7 inches,23.80 Pounds,/parts/mopar-differntl-differential~5038236ac.html
13,5012810AC,BOLT KIT Ring Gear 7/16-20x0.750,,"2013-2017, 2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,5012810AB,,available,56.45,39.26,4.6 x 2.8 x 1.1 inches,1.10 Pounds,/parts/mopar-bolt-kit-ring-gear~5012810ac.html
14,68046923AA,BEARING KIT Differential Side,,"2013-2017, 2008-2010","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,,,,,,discontinued,,,5.3 x 4.1 x 2.8 inches,2.20 Pounds,/parts/mopar-bearingki-differential-side~68046923aa.html
15,68046911AA,BEARING Axle Shaft,,"2013-2017, 2008-2010","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,2,1,,,,available,26,20.15,5.7 x 5.0 x 0.8 inches,0.60 Pounds,/parts/mopar-bearing-axle-shaft~68046911aa.html
