ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,68026795AA,GASKET PACKAGE Engine Upper,,2008-2010,"COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,,,,,,discontinued,,,47.1 x 19.2 x 3.6 inches,5.80 Pounds,/parts/mopar-gskt-pkg-engine~68026795aa.html
2,5037734AB,GASKET Cylinder Head,,"2008-2010, 2006, 1999-2003, 1992-1996","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,"5037734AA, 4763749AC, 4763749",,discontinued,,,19.6 x 9.0 x 0.5 inches,1.50 Pounds,/parts/mopar-gasket-cylinder-head~5037734ab.html
3,5037827AA,GASKET Cylinder head Cover,,"2013-2017, 2008-2010","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,,,,,,discontinued,,,28.8 x 10.2 x 0.6 inches,0.60 Pounds,/parts/mopar-gasket-cylinder-head-cover~5037827aa.html
4,5038094AA,SEAL Intake Manifold,,"2013-2017, 2008-2010","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,10,1,,,,available,13.6,9.38,3.1 x 2.3 x 0.5 inches,0.40 Pounds,/parts/mopar-seal-intake-manifold~5038094aa.html
5,5037927AA,GASKET Intake Plenum,,2008-2010,"ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,,,,,,available,61.95,37.71,29.4 x 15.8 x 0.5 inches,0.50 Pounds,/parts/mopar-gasket-intake-plenum~5037927aa.html
6,5037703AA,GASKET Exhaust Manifold,,"2013-2017, 2008-2010","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,2,1,,,,available,70.95,49.34,22.6 x 2.5 x 0.5 inches,0.70 Pounds,/parts/mopar-manifold-exhaust-manifold~5037703aa.html
7,5038090AA,SEAL Throttle Body to Intake,,"2013-2017, 2008-2010","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,2,1,,,,available,10.1,6.99,3.6 x 3.6 x 0.3 inches,0.50 Pounds,/parts/mopar-seal-throttle-body-to-intake~5038090aa.html
8,5037173AA,GASKET Thermostat,,"2013-2017, 2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,39.7,27.61,5.3 x 5.1 x 0.3 inches,0.40 Pounds,/parts/mopar-gasket-thermostat~5037173aa.html
9,68026796AA,GASKET PACKAGE Engine Lower,,"2013-2017, 2008-2010, 2005-2006","COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,"5086535AE, 5086535AG, 5086535AD, 5086535AF",,discontinued,,,28.7 x 18.7 x 1.5 inches,1.80 Pounds,/parts/mopar-gskt-pkg-engine~68026796aa.html
10,5037300AA,SEAL Crankshaft Oil Rear,,"2013-2017, 2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,5037300AC,,available,128,54.57,11.6 x 10.4 x 1.5 inches,0.70 Pounds,/parts/mopar-seal-crankshaft-oil~5037300aa.html
