ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,WP74DX9AA,GRILLE Defroster,,2008-2010,"ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,,,,,,available,55.15,46.54,15.9 x 6.1 x 1.3 inches,0.50 Pounds,/parts/mopar-grille-defroster~wp74dx9aa.html
2,4865546AA,DUCT Instrument Panel,Left,"2008-2010, 2003","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,66.95,56.48,25.0 x 9.7 x 7.2 inches,1.40 Pounds,/parts/mopar-duct-instrument-panel~4865546aa.html
2,4865552AA,DUCT Instrument Panel,,"2008-2010, 2003","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,Center,available,85.3,71.94,18.1 x 12.7 x 8.7 inches,1.30 Pounds,/parts/mopar-duct-instrument-panel~4865552aa.html
3,4865532AA,SUPPORT Instrument Panel,,"2008-2010, 2005, 2003","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,1690,1429.45,62.8 x 20.1 x 21.2 inches,26.80 Pounds,/parts/mopar-support-instrument-panel~4865532aa.html
4,TS33DX9AD,PANEL Instrument Panel,,"2008-2010, 2005, 2003","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,"TS33DX9AC, TS33DX9AB",,discontinued,,,97.9 x 16.3 x 11.5 inches,23.40 Pounds,/parts/mopar-panel-instrument-panel~ts33dx9ad.html
5,5GD76DX9AA,OUTLET Air Conditioning & Heater,,"2008-2010, 2005, 2003","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,,,discontinued,,,3.8 x 3.9 x 2.9 inches,0.60 Pounds,/parts/mopar-outlet-air-conditioning-heater~5gd76dx9aa.html
6,1MA361D5AA,DOOR Glove Box,,2008-2009,"COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,,,TQ751X5AB,,[X5],available,282,190.63,4.2 x 25.2 x 0.3 inches,4.20 Pounds,/parts/mopar-door-glove-box~1ma361d5aa.html
6,1MA361U4AA,DOOR Glove Box,,2008-2009,"COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,,,TQ751XUAB,,[XU],available,354,239.14,22.1 x 10.8 x 9.8 inches,2.20 Pounds,/parts/mopar-door-glove-box~1ma361u4aa.html
6,1MA361XRAA,DOOR Glove Box,,2008-2009,"COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,,,TQ752XRAB,,[XR],available,727,497.04,4.2 x 24.7 x 0.3 inches,3.40 Pounds,/parts/mopar-door-glove-box~1ma361xraa.html
6,1MA36DX9AA,DOOR Glove Box,,2008-2009,"COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,,,TQ75DX9AB,,[X9],available,1515,1024.91,21.8 x 10.7 x 9.8 inches,4.70 Pounds,/parts/mopar-door-glove-box~1ma36dx9aa.html
7,QN25DX9AB,LATCH Glovebox Door,,"2008-2010, 2005, 2003","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,QN25DBNAB,,discontinued,,,10.8 x 2.4 x 2.0 inches,0.70 Pounds,/parts/mopar-latch-glovebox-door~qn25dx9ab.html
8,QN26DX9,BEZEL Glove Box,,2009-2010,"ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,,,,QN26DBN,,discontinued,,,,,/parts/mopar-bezel-glove-box~qn26dx9.html
14,1JU32AAAAA,BEZEL Instrument Panel Center,,2008-2010,"ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,,,,,,discontinued,,,26.0 x 14.7 x 4.0 inches,1.00 Pounds,/parts/mopar-bezel-instrument-panel~1ju32aaaaa.html
15,WA87DX9AA,BEZEL Instrument Cluster,,"2008-2010, 2005, 2003","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,unavailable,634,531.24,53.0 x 20.2 x 12.2 inches,6.60 Pounds,/parts/mopar-bezel-instrument-cluster~wa87dx9aa.html
16,1MA751D5AA,COVER Instrument Panel Steering Column Opening,,2009-2010,"ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,,,TQ811D5AA,,[X5],available,414,345.65,22.6 x 14.1 x 7.5 inches,2.30 Pounds,/parts/mopar-cover-instrument-panel~1ma751d5aa.html
16,1MA751U4AA,COVER Instrument Panel Steering Column Opening,,2009,"COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,,,TQ811T5AA,,[XU],available,475,317.78,18.0 x 14.4 x 9.4 inches,2.20 Pounds,/parts/mopar-cover-instrument-panel~1ma751u4aa.html
16,1MA751XRAA,COVER Instrument Panel Steering Column Opening,,2009-2010,"ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,,,TQ81SR1AA,,[XR],available,514,351.12,21.9 x 14.6 x 9.5 inches,2.60 Pounds,/parts/mopar-cover-instrument-panel~1ma751xraa.html
16,1MA75DX9AA,COVER Instrument Panel Steering Column Opening,,2009-2010,"ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,,,TQ81DX9AA,,[X9],available,570,374,22.8 x 14.4 x 9.8 inches,5.20 Pounds,/parts/mopar-cover-instrument-panel~1ma75dx9aa.html
17,5029016AA,BRACKET Relay,,"2008-2010, 2005, 2003","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,235,198,6.4 x 4.5 x 1.9 inches,0.60 Pounds,/parts/mopar-bracket-relay~5029016aa.html
18,5291230AC,PLATE PLATE-COVER,,2009,"COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,,,,,,discontinued,,,10.6 x 4.3 x 1.6 inches,0.70 Pounds,/parts/mopar-plate-plate-cover~5291230ac.html
,5029142AA,BIN Glove box,,"2008-2010, 2005, 2003","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,241,195.75,9.1 x 8.9 x 6.2 inches,1.10 Pounds,/parts/mopar-bin-glove-box~5029142aa.html
