ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,1BW601X9AA,SEAT BELT Front,,"2008-2010, 2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,Right With [CGK],available,272,227.46,6.7 x 6.5 x 6.7 inches,3.80 Pounds,/parts/mopar-beltassy-front~1bw601x9aa.html
1,1BW611X9AA,SEAT BELT Front,,"2008-2010, 2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,Left With [CGK],available,316,262.03,6.5 x 6.4 x 6.7 inches,3.30 Pounds,/parts/mopar-beltassy-front~1bw611x9aa.html
1,UB651X9AF,SEAT BELT Front,,"2008-2010, 2004-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,UB651X9AE,Left Without [CGK],available,165,124.7,10.1 x 8.2 x 3.9 inches,4.00 Pounds,/parts/mopar-seatbelt-front~ub651x9af.html
2,TQ881X9AC,SEAT BELT Buckle Half,,"2008-2010, 2003-2006","SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,"XN611X9AA, XN611BNAA",,discontinued,,,9.6 x 2.1 x 1.2 inches,0.80 Pounds,/parts/mopar-seat-belt-buckle-half~tq881x9ac.html
3,6036547AA,SCREW Hex Head .437-20X1.00,,"2008-2010, 2004-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,,,available,1.45,0.99,1.2 x 0.6 x 0.6 inches,0.80 Pounds,/parts/mopar-screw-hex-head~6036547aa.html
4,5029127AC,TURNING LOOP Seat Belt,Left,"2008-2010, 2005-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,5029127AD,,,available,52.1,36.41,6.2 x 5.2 x 4.7 inches,1.20 Pounds,/parts/mopar-loop-seat-belt~5029127ac.html
5,6100583,SCREW AND WASHER Hex Head M8x1.25x25,,"2008-2010, 1993-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",4,1,,,,available,,14.51,1.2 x 0.7 x 0.7 inches,0.40 Pounds,/parts/mopar-screw-hex-head~6100583.html
6,6503571,SCREW AND WASHER M10x1.50x35,,"2008-2010, 1997-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",4,1,6502467,,,available,11.15,7.75,0.8 x 0.6 x 0.5 inches,0.50 Pounds,/parts/mopar-screw~6503571.html
7,6036512AA,SCREW Pan Head .437-20x1.375,,"2013-2017, 2008-2010, 2002-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,,,available,11.7,6.86,1.6 x 1.1 x 0.7 inches,0.50 Pounds,/parts/mopar-bolt-pan-head~6036512aa.html
8,6100583,SCREW AND WASHER Hex Head M8x1.25x25,,"2008-2010, 1993-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",4,1,,,,available,,14.51,1.2 x 0.7 x 0.7 inches,0.40 Pounds,/parts/mopar-screw-hex-head~6100583.html
9,5029290AA,PLATE Child Tether Anchor,,"2013-2017, 2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,discontinued,,,3.1 x 1.3 x 0.7 inches,0.50 Pounds,/parts/mopar-plate-child-tether-anchor~5029290aa.html
