ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,4865495AG,PANEL Dash,,2009-2010,"ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,,,,,,discontinued,,,,,/parts/mopar-panel-dash~4865495ag.html
2,5029189AA,BRACKET Dash,Left,"2014-2017, 2010, 2008, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,discontinued,,,6.8 x 5.8 x 2.4 inches,1.00 Pounds,/parts/mopar-bracket-dash~5029189aa.html
3,6101326,BOLT AND CONED WASHER Hex Head M8X1.25X80.00,,"2014-2017, 2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",4,1,,,,available,3.4,2.27,2.9 x 1.1 x 1.0 inches,0.50 Pounds,/parts/mopar-bolt-hex-head~6101326.html
5,35022111,SPACER Fender 1.0,,"2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,discontinued,,,1.2 x 1.1 x 0.3 inches,0.40 Pounds,/parts/mopar-shim-fender~35022111.html
6,35022112,SPACER Fender 1.5,,"2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,discontinued,,,1.0 x 1.0 x 0.8 inches,0.50 Pounds,/parts/mopar-shim-fender~35022112.html
7,6100583,SCREW AND WASHER Hex Head M8x1.25x25,,"2008-2010, 1993-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",4,1,,,,available,,14.51,1.2 x 0.7 x 0.7 inches,0.40 Pounds,/parts/mopar-screw-hex-head~6100583.html
8,6101809,NUT AND WASHER Hex M8x1.25,,"2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",4,1,,34201918,,available,7.95,5.53,0.8 x 0.8 x 0.4 inches,0.70 Pounds,/parts/mopar-nut-hex~6101809.html
12,6101799,BOLT AND WASHER Hex Head M8x1.25x20,,"2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",3,1,,,,available,4.55,3.09,1.2 x 0.8 x 0.8 inches,0.40 Pounds,/parts/mopar-bolt-hex-head~6101799.html
13,5029319AA,SHIELD Heat,Left,"2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,93.15,78.86,19.2 x 7.6 x 5.8 inches,1.10 Pounds,/parts/mopar-shield-heat~5029319aa.html
14,6031694,SCREW AND WASHER Hex Head .164-18x1.0,,"2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",8,1,,,,discontinued,,,1.1 x 0.6 x 0.6 inches,0.40 Pounds,/parts/mopar-screw-hex-head~6031694.html
,5029235AA,SEAL,,"2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",2,1,5029235AB,,,available,10.1,7.05,2.3 x 2.3 x 0.3 inches,0.40 Pounds,/parts/mopar-seal~5029235aa.html
