ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,5030567AE,HOOD,,2009-2010,"ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,,,5030567AF,,,available,5095,3435.2,76.5 x 60.6 x 10.8 inches,73.60 Pounds,/parts/mopar-hood~5030567ae.html
2,4865639AD,HINGE Hood,Left,"2008-2010, 2004-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,4865639AC,,discontinued,,,11.7 x 2.6 x 2.0 inches,1.70 Pounds,/parts/mopar-hinge-hood~4865639ad.html
5,4865827AC,LATCH Hood,,"2008-2010, 2005-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,77.75,63.11,7.1 x 6.2 x 4.3 inches,1.50 Pounds,/parts/mopar-latch-hood~4865827ac.html
6,6507213AA,BALL STUD,,"2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,11.05,8.91,1.7 x 0.8 x 0.8 inches,0.70 Pounds,/parts/mopar-ball-stud~6507213aa.html
8,4865815AA,RELEASE Hood Latch,,"2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,discontinued,,,14.3 x 1.6 x 1.6 inches,0.60 Pounds,/parts/mopar-cable-hood-latch~4865815aa.html
9,34201358,NUT AND WASHER Hex Nut-Sealing Washer M6 x 1.00,,"2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",3,1,,6101444,,available,13.9,9.67,1.0 x 1.0 x 0.7 inches,0.40 Pounds,/parts/mopar-nut-hex-nut-sealing-washer~34201358.html
10,34201358,NUT AND WASHER Hex Nut-Sealing Washer M6 x 1.00,,"2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",4,1,,6101444,,available,13.9,9.67,1.0 x 1.0 x 0.7 inches,0.40 Pounds,/parts/mopar-nut-hex-nut-sealing-washer~34201358.html
11,4865820AF,PROP Gas,,2008-2010,"ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,2,1,,,,available,31.4,25.16,23.5 x 9.3 x 6.4 inches,0.90 Pounds,/parts/mopar-prop-gas-gas~4865820af.html
12,5008628AA,BUMPER,,"2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,,,available,11.7,10.15,1.7 x 1.3 x 1.0 inches,0.50 Pounds,/parts/mopar-stop-bmpr~5008628aa.html
14,5030958AA,SCREEN AIR INLET HOOD,,2008-2010,"ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,,,,,,discontinued,,,5.5 x 3.3 x 1.3 inches,0.70 Pounds,/parts/mopar-screen-air-inlet~5030958aa.html
