ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,5037711AE,HEAD Cylinder,,2008-2010,"ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,2,1,RL037711AE,,,available,1735,1434.2,18.1 x 9.3 x 9.5 inches,39.60 Pounds,/parts/mopar-head-cylinder~5037711ae.html
2,6509056AA,BOLT Hex Head M6x1.00x30.00,,"2013-2017, 2008-2010","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,16,1,,,,available,,14.51,2.0 x 1.0 x 1.0 inches,0.50 Pounds,/parts/mopar-bolt-hex-head~6509056aa.html
3,6509080AA,BOLT Hex Flange Head M11x1.50x110.00,,2008-2010,"ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,24,1,6510385AA,,,available,12.05,10.14,4.6 x 0.8 x 0.8 inches,0.60 Pounds,/parts/mopar-bolt-hex-flange-head~6509080aa.html
4,5037734AB,GASKET Cylinder Head,,"2008-2010, 2006, 1999-2003, 1992-1996","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,"5037734AA, 4763749AC, 4763749",,discontinued,,,19.6 x 9.0 x 0.5 inches,1.50 Pounds,/parts/mopar-gasket-cylinder-head~5037734ab.html
5,53010515AA,LOCK Valve Spring Retainer,,"2013-2017, 2008-2010","COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,40,1,,,,available,4.7,3.2,0.5 x 0.6 x 0.6 inches,0.40 Pounds,/parts/mopar-retainer-valve-spring-retainer~53010515aa.html
6,53021676AB,RETAINER Valve Spring,,"2013-2017, 2008-2010","COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,20,1,,,,available,6.5,4.49,1.1 x 1.1 x 0.6 inches,0.60 Pounds,/parts/mopar-retainer-valve-spring~53021676ab.html
7,5037720AA,SPRING Valve,,"2013, 2008-2010","ACR-X Coupe, COMP. Coupe, SRT, SRT GTS, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,20,1,5038762AA,,,available,15.05,5.4,2.2 x 1.3 x 1.3 inches,0.60 Pounds,/parts/mopar-spring-valve~5037720aa.html
8,5037847AA,SEAL Valve Guide,,"2013-2017, 2008-2010","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,20,1,,,,available,15.55,10.72,2.1 x 2.1 x 1.2 inches,0.50 Pounds,/parts/mopar-seal-valve-guide~5037847aa.html
9,5037718AA,VALVE Intake Standard,,"2013-2017, 2008-2010","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,10,1,,,,available,139,65.34,5.7 x 2.3 x 2.3 inches,0.70 Pounds,/parts/mopar-valve-intake~5037718aa.html
10,5037719AB,VALVE Exhaust Standard,,2008-2010,"ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,10,1,5037719AC,,,available,81.95,66.83,6.1 x 3.1 x 0.3 inches,0.60 Pounds,/parts/mopar-valve-exhaust~5037719ab.html
