ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,5181465AA,WHEEL Aluminum,,2009-2010,"ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,2,1,,,Front [WP4],discontinued,,,22.0 x 12.7 x 24.9 inches,25.80 Pounds,/parts/mopar-wheel-aluminum~5181465aa.html
1,1JJ57DX8AA,WHEEL Aluminum,,2008-2010,"ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,2,1,,,"Front [WP1][TN1]
Front [WP1][TXM]",discontinued,,,23.6 x 23.1 x 13.1 inches,21.10 Pounds,/parts/mopar-wheel-aluminum~1jj57dx8aa.html
1,1JJ57LRNAA,WHEEL Aluminum,,2010,"ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,2,1,,,Front [WP1][TN1][AC3],discontinued,,,24.1 x 23.5 x 12.5 inches,23.80 Pounds,/parts/mopar-wheel-aluminum~1jj57lrnaa.html
1,1JJ59DX8AA,WHEEL Aluminum,,2008-2010,"ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,2,1,,,"Rear [WP1][TN1]
Rear [WP1][TXM]",discontinued,,,24.4 x 23.5 x 16.2 inches,21.40 Pounds,/parts/mopar-wheel-aluminum~1jj59dx8aa.html
1,1JJ59LRNAA,WHEEL Aluminum,,2010,"ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,2,1,,,Rear [WP1][TN1][AC3],discontinued,,,21.3 x 22.1 x 15.0 inches,30.10 Pounds,/parts/mopar-wheel-aluminum~1jj59lrnaa.html
1,1TH18GD3AA,WHEEL Aluminum,,2010,"ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,2,1,,,Rear [WPE],available,1370,897.6,20.7 x 20.5 x 11.7 inches,27.50 Pounds,/parts/mopar-wheel-aluminum~1th18gd3aa.html
1,5181333AA,WHEEL Aluminum,,2008-2010,"ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,2,1,,,Front [WPS],available,1240,804.1,20.7 x 20.9 x 11.7 inches,13.20 Pounds,/parts/mopar-wheel-aluminum~5181333aa.html
1,5181334AA,WHEEL Aluminum,,2008-2010,"ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,2,1,,,Rear [WPS],available,1280,833.8,32.6 x 32.6 x 25.2 inches,35.20 Pounds,/parts/mopar-wheel-aluminum~5181334aa.html
1,5181466AA,WHEEL Aluminum,,2009-2010,"ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,2,1,,,Rear [WP4],discontinued,,,21.2 x 15.9 x 24.4 inches,21.80 Pounds,/parts/mopar-wheel-aluminum~5181466aa.html
1,5290866AC,WHEEL Aluminum,,2010,"ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,2,1,,,Front [WP6],available,950,775.5,21.6 x 13.0 x 24.7 inches,47.60 Pounds,/parts/mopar-wheel-aluminum~5290866ac.html
1,5290868AC,WHEEL Aluminum,,2010,"ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,2,1,,,Rear [WP6],available,1260,1028.5,22.0 x 16.1 x 25.1 inches,43.70 Pounds,/parts/mopar-wheel-aluminum~5290868ac.html
2,6036310AA,NUT Wheel .50x20 Chrome,,"2008-2010, 2000-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",24,1,6036747AA,,,available,16.45,8.91,1.2 x 1.2 x 1.6 inches,0.50 Pounds,/parts/mopar-nut-wheel~6036310aa.html
5,TW94XZAAA,CAP Wheel Center,,"2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",4,1,,,,available,90.7,59.61,3.8 x 2.6 x 1.9 inches,0.50 Pounds,/parts/mopar-cap-wheel-center~tw94xzaaa.html
,52088961AA,NUT Tire Pressure Sensor,,"2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,,,available,15.85,11.07,0.8 x 0.5 x 0.5 inches,0.50 Pounds,/parts/mopar-nut-tire-pressure-sensor~52088961aa.html
,52088990AC,SENSOR Tire Pressure Valve stem,,"2008-2010, 2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",2,1,68406527AA,,,available,102,68.4,1.6 x 3.0 x 3.1 inches,0.50 Pounds,/parts/mopar-sensor-tire-pressure~52088990ac.html
