ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,68110793AA,DOOR Fuel Fill,,2013,"SRT, SRT GTS",10 Cyl 8.4L,,,5YW75SZ6AB,,,available,1255,846.37,,,/parts/mopar-door-fuel-fill~68110793aa.html
2,6102244AA,NUT,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,4,1,,,,available,3.9,2.68,0.8 x 0.8 x 0.4 inches,0.50 Pounds,/parts/mopar-nut~6102244aa.html
3,68096344AB,CUP Fuel Door Mounting,,2013-2014,"SRT, SRT GTS",10 Cyl 8.4L,,,68096344AD,,,available,156,104.34,8.2 x 8.4 x 3.9 inches,2.10 Pounds,/parts/mopar-cup-fuel-door-mounting~68096344ab.html
4,68104859AE,LATCH Fuel Door,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,"68104859AD, 68104859AF",,available,90.85,61.31,7.3 x 6.1 x 3.5 inches,1.20 Pounds,/parts/mopar-latch-fuel-door~68104859ae.html
5,6503992,SCREW AND WASHER Hex Head M6x1x30,,"2013-2017, 2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,,,available,8.9,6.17,1.0 x 1.0 x 1.4 inches,0.80 Pounds,/parts/mopar-screw-hex-head~6503992.html
6,68144494AB,BRACKET Roof To Body,,2013,"SRT, SRT GTS",10 Cyl 8.4L,2,1,68144494AE,,,available,34.6,24.12,35.7 x 1.3 x 0.5 inches,0.80 Pounds,/parts/mopar-bracket-roof-to-body~68144494ab.html
7,68110767AA,PANEL Quarter,Left,,,,,,,,,discontinued,,,,,
8,68163966AB,BRACKET Fascia,Right,2013,"SRT, SRT GTS",10 Cyl 8.4L,,,68163966AD,,,available,20.7,14.45,11.8 x 1.4 x 0.6 inches,0.50 Pounds,/parts/mopar-bracket-fascia~68163966ab.html
9,6035201,RIVET,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,6,1,,,,available,12.2,8.45,2.8 x 1.0 x 0.9 inches,0.40 Pounds,/parts/mopar-rivet~6035201.html
10,68138277AB,SHIELD Splash,Left,2013-2014,"SRT, SRT GTS",10 Cyl 8.4L,,,68138277AG,,,available,118,79.47,39.3 x 24.7 x 22.3 inches,3.50 Pounds,/parts/mopar-shield-splash~68138277ab.html
11,6505049AA,NUT M5,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,5,1,,,,available,8.8,6.12,1.2 x 1.1 x 0.3 inches,0.40 Pounds,/parts/mopar-nut~6505049aa.html
12,6508387AA,SCREW Pan Head M6X1.00X22.00,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,3,1,6508611AA,,,available,4.65,3.2,1.4 x 0.8 x 0.8 inches,0.40 Pounds,/parts/mopar-screw-pan-head~6508387aa.html
13,5029443AC,SEAL B-Pillar,,"2013-2017, 2008-2010, 2005-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,5029443AB,,available,23.85,18.87,9.1 x 6.3 x 1.9 inches,0.50 Pounds,/parts/mopar-seal-b-pillar~5029443ac.html
14,6508387AA,SCREW Pan Head M6X1.00X22.00,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,2,1,6508611AA,,,available,4.65,3.2,1.4 x 0.8 x 0.8 inches,0.40 Pounds,/parts/mopar-screw-pan-head~6508387aa.html
15,5029175AD,SEAL Quarter Panel,Left,"2013-2017, 2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,"5029175AC, 5029175AB",,available,22,17.42,25.5 x 2.6 x 1.3 inches,0.60 Pounds,/parts/mopar-seal-quarter-panel~5029175ad.html
16,5029607AB,SEAL Foam,,2013-2014,"SRT, SRT GTS",10 Cyl 8.4L,,,5029607AC,,,available,7,5.94,5.4 x 4.3 x 0.8 inches,0.40 Pounds,/parts/mopar-seal-foam~5029607ab.html
17,68186516AC,SEAL Foam,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,"68186516AA, 68186516AB",,available,6.4,5.42,,0.40 Pounds,/parts/mopar-seal-foam~68186516ac.html
