ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,68110765AA,PANEL Roof,,,,,,,,,,discontinued,,,,,
2,6104368AA,BOLT AND WASHER Hex Head M6X1.00X25.00,,2013-2015,"SRT, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,2,1,,68065344AA,,available,6,4.14,1.6 x 1.0 x 1.0 inches,0.40 Pounds,/parts/mopar-bolt-hex-head~6104368aa.html
3,68174034AB,SEAL Header Foam,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,,,available,12.8,11.01,10.3 x 8.2 x 0.5 inches,0.90 Pounds,/parts/mopar-seal-header-foam~68174034ab.html
4,5039061AB,SEAL Header Foam,,2013-2014,"SRT, SRT GTS",10 Cyl 8.4L,,,5039061AD,,,available,19.25,13.4,8.8 x 7.7 x 0.8 inches,0.60 Pounds,/parts/mopar-seal-header-foam~5039061ab.html
5,6505026AA,SCREW Pan Head M8,,"2013-2017, 2006, 2003-2004","COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,8.6,6,0.8 x 0.2 x 0.2 inches,0.50 Pounds,/parts/mopar-screw-pan-head~6505026aa.html
6,68172149AB,SEAL Inlet Duct Panel,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,2,1,,68172149AA,,available,7.45,6.17,12.5 x 1.3 x 1.3 inches,0.40 Pounds,/parts/mopar-seal-inlet-duct-panel~68172149ab.html
7,1VY85DX8AB,PANEL Inlet Duct Rear Brake Cooling,Left,2013,"SRT, SRT GTS",10 Cyl 8.4L,,,1VY85DX8AE,,,available,694,474.24,40.6 x 15.2 x 11.8 inches,2.30 Pounds,/parts/mopar-panel-inlet-duct~1vy85dx8ab.html
7,68191404AA,PANEL Inlet Duct Rear Brake Cooling,,2013-2014,"SRT, SRT GTS",10 Cyl 8.4L,,,68191404AB,,Right [MBM],available,2175,1469,42.1 x 13.5 x 4.1 inches,2.30 Pounds,/parts/mopar-panel-inlet-duct~68191404aa.html
7,68191405AA,PANEL Inlet Duct Rear Brake Cooling,,2013-2014,"SRT, SRT GTS",10 Cyl 8.4L,,,68191405AB,,Left [MBM],available,2175,1469,41.7 x 13.5 x 4.2 inches,2.30 Pounds,/parts/mopar-panel-inlet-duct~68191405aa.html
8,68186521AB,SEAL Brake Air Duct,Left,2013-2014,"SRT, SRT GTS",10 Cyl 8.4L,,,68186521AD,,,available,10.8,7.51,8.2 x 3.9 x 0.5 inches,0.40 Pounds,/parts/mopar-seal-brake-air-duct~68186521ab.html
9,68141715AB,REINFORCEMENT Roof Panel,Left,2013,"SRT, SRT GTS",10 Cyl 8.4L,,,68141715AD,,,available,422,285.38,26.4 x 17.5 x 2.3 inches,1.20 Pounds,/parts/mopar-reinfmnt-roof-panel~68141715ab.html
10,6035201,RIVET,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,6,1,,,,available,12.2,8.45,2.8 x 1.0 x 0.9 inches,0.40 Pounds,/parts/mopar-rivet~6035201.html
11,68186516AC,SEAL Foam,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,"68186516AA, 68186516AB",,available,6.4,5.42,,0.40 Pounds,/parts/mopar-seal-foam~68186516ac.html
12,68144494AB,BRACKET Roof To Body,,2013,"SRT, SRT GTS",10 Cyl 8.4L,2,1,68144494AE,,,available,34.6,24.12,35.7 x 1.3 x 0.5 inches,0.80 Pounds,/parts/mopar-bracket-roof-to-body~68144494ab.html
13,68186513AB,STUFFER Foam Trunk Pan To Roof Inner,Left,2013-2014,"SRT, SRT GTS",10 Cyl 8.4L,,,68186513AC,,,available,22.75,19.81,43.8 x 5.9 x 1.3 inches,0.70 Pounds,/parts/mopar-stuffer-foam~68186513ab.html
14,68172150AB,SEAL Quarter Panel to Trunkpan,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,2,1,,68172150AA,,available,7.7,6.35,9.5 x 1.3 x 1.3 inches,0.40 Pounds,/parts/mopar-seal-quarter-panel-to-trunkpan~68172150ab.html
15,6503992,SCREW AND WASHER Hex Head M6x1x30,,"2013-2017, 2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,,,available,8.9,6.17,1.0 x 1.0 x 1.4 inches,0.80 Pounds,/parts/mopar-screw-hex-head~6503992.html
