ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,68110839AC,PANEL Side Sill,Left,2013,"SRT, SRT GTS",10 Cyl 8.4L,,,68195687AE,,,available,7805,5288.4,76.5 x 23.5 x 12.2 inches,19.90 Pounds,/parts/mopar-panel-side-sill~68110839ac.html
2,6034355,SCREW Hex Flange Head .25-14x.875,,"2013-2017, 2008-2010, 2005-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",14,1,,6032824,,available,5.85,4.02,1.5 x 1.0 x 0.5 inches,0.60 Pounds,/parts/mopar-screw-hex-flange-head~6034355.html
3,6035625,SCREW Tapping .190-16X.750,,"2013-2017, 2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",8,1,,,,available,18,12.52,0.8 x 0.6 x 0.6 inches,0.50 Pounds,/parts/mopar-screw-tapping~6035625.html
4,68141717AA,EXHAUST TIP Side Sill,Left,2013-2014,"SRT, SRT GTS",10 Cyl 8.4L,,,,,,available,210,170.33,12.1 x 7.4 x 2.9 inches,1.30 Pounds,/parts/mopar-exhaust-side-sill~68141717aa.html
5,68160491AC,GRILLE Fender,Left,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,"68160491AA, 68160491AB",,available,62.6,52.77,19.2 x 8.0 x 8.0 inches,1.60 Pounds,/parts/mopar-grille-fender~68160491ac.html
6,5029319AC,SHIELD Heat,Left,2013,"SRT, SRT GTS",10 Cyl 8.4L,,,5029319AD,,,available,72.35,59.61,20.7 x 8.0 x 6.7 inches,1.10 Pounds,/parts/mopar-shield-heat~5029319ac.html
7,6034645,RIVET .25 Grip-.06-.25,,"2013-2017, 2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,,,available,12.7,8.8,3.1 x 0.6 x 0.3 inches,0.50 Pounds,/parts/mopar-retainer~6034645.html
8,68096359AA,PANEL Sill,Left,,,,,,,,,discontinued,,,,,
10,4865891AA,BRACKET Door Surround,,"2013-2017, 2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,,,discontinued,,,1.7 x 0.8 x 1.0 inches,0.60 Pounds,/parts/mopar-bracket-door-surround~4865891aa.html
11,6035625,SCREW Tapping .190-16X.750,,"2013-2017, 2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",8,1,,,,available,18,12.52,0.8 x 0.6 x 0.6 inches,0.50 Pounds,/parts/mopar-screw-tapping~6035625.html
