ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,5290113AD,HOSE AND TUBE ASSEMBLY Brake Rear,Left,2013,"SRT, SRT GTS",10 Cyl 8.4L,,,5290113AF,,,available,60.4,42,17.6 x 2.3 x 2.3 inches,0.90 Pounds,/parts/mopar-tube-brake~5290113ad.html
2,6105032AA,SCREW Hex Flange Head M5X0.8X20.00,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,2,1,,,,available,3.5,2.39,0.7 x 0.7 x 0.3 inches,0.40 Pounds,/parts/mopar-screw-hex-flange-head~6105032aa.html
3,6502114,GASKET Brake Hose To Caliper,,"2013-2017, 1992-2005","COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",8,1,,,,available,9.2,6.68,0.3 x 0.8 x 0.8 inches,0.40 Pounds,/parts/mopar-gasket-brake-hose-to-caliper~6502114.html
4,6510161AA,BOLT Banjo,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,4,1,,,,available,5.45,3.79,0.7 x 0.7 x 1.3 inches,0.40 Pounds,/parts/mopar-bolt-banjo~6510161aa.html
5,68170690AB,HOSE AND TUBE ASSEMBLY Brake Right Rear,,,,,,,,,,discontinued,,,,,
6,68170692AB,HOSE AND TUBE ASSEMBLY Brake Left Rear,,,,,,,,,,discontinued,,,,,
7,4683449AC,CLIP Tube 2 Way,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,2,1,,,,available,1.35,0.93,1.6 x 0.8 x 0.6 inches,0.50 Pounds,/parts/mopar-clip-tube~4683449ac.html
8,6105032AA,SCREW Hex Flange Head M5X0.8X20.00,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,2,1,,,,available,3.5,2.39,0.7 x 0.7 x 0.3 inches,0.40 Pounds,/parts/mopar-screw-hex-flange-head~6105032aa.html
9,5181856AB,TUBE Brake,,2013,"SRT, SRT GTS",10 Cyl 8.4L,,,5181856AD,,Right Main Brake Tube,available,559,381.9,6.6 x 114.2 x 3.1 inches,0.80 Pounds,/parts/mopar-line-brake~5181856ab.html
10,5085043AA,CLIP Fuel Bundle,,"2013-2017, 2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",6,1,,,,available,12.75,8.84,3.7 x 1.0 x 0.8 inches,0.40 Pounds,/parts/mopar-clip-fuel-bundle~5085043aa.html
11,5290248AA,SENSOR Anti-Lock Brakes,,"2013-2016, 2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",2,1,5290248AB,,,available,163,108.73,12.1 x 8.6 x 1.3 inches,0.60 Pounds,/parts/mopar-sensor-anti-lock-brakes~5290248aa.html
12,6503929,SCREW AND WASHER Coned Pilot M6x1x30,,"2013-2017, 1992-1996","GTS Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10","10 Cyl 8.0L, 10 Cyl 8.4L",2,1,,,,available,7.05,4.78,0.7 x 0.8 x 1.6 inches,0.40 Pounds,/parts/mopar-screw-coned-pilot~6503929.html
