ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,5093291AB,PAD KIT Disc Brake,,"2013-2017, 2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,5093291AA,,available,301,239.73,5.3 x 4.9 x 4.9 inches,5.00 Pounds,/parts/mopar-pad-disc-brake~5093291ab.html
2,5093303AA,CLIP Brake Caliper,,"2013-2017, 2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,18.45,13.86,5.8 x 4.0 x 1.3 inches,0.50 Pounds,/parts/mopar-retainer-brake-caliper~5093303aa.html
3,5093301AA,PISTON KIT DISC BRAKE,,"2013-2017, 2010, 2008, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,"[BRF] Or [BR4], With [XS9], 38mm Diameter Pistons.
[BRF] Or [BR4], With [XSP], 38mm Diameter Pistons.",available,101,65.65,5.3 x 2.8 x 1.2 inches,0.70 Pounds,/parts/mopar-piston-disc-brake~5093301aa.html
4,5093299AA,BOOT AND SEAL KIT Disc Brake,,"2013-2017, 2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,28.15,22.66,5.3 x 3.0 x 1.5 inches,0.60 Pounds,/parts/mopar-seal-disc-brake~5093299aa.html
5,68192025AA,CALIPER ASSEMBLY Disc Brake Rear,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,,"Left [BRF] Or [BR4], With [XS9]",available,589,387.62,13.5 x 12.6 x 8.0 inches,9.30 Pounds,/parts/mopar-caliper-disc-brake~68192025aa.html
5,68192028AA,CALIPER ASSEMBLY Disc Brake Rear,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,,"Right [BRF] Or [BR4], With [XSP]",available,728,474.52,12.2 x 11.3 x 4.8 inches,9.40 Pounds,/parts/mopar-caliper-disc-brake~68192028aa.html
5,68192029AA,CALIPER ASSEMBLY Disc Brake Rear,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,,"Left [BRF] Or [BR4], With [XSP]",available,741,482.22,11.7 x 11.5 x 3.2 inches,9.60 Pounds,/parts/mopar-caliper-disc-brake~68192029aa.html
6,6507587AA,SCREW Cap,,"2013-2017, 2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",4,1,,,,discontinued,,,4.3 x 0.8 x 0.8 inches,0.70 Pounds,/parts/mopar-screw-cap~6507587aa.html
7,5093297AA,BLEEDER SCREW Brake,,"2013-2017, 2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,8.3,7.02,6.0 x 3.5 x 1.4 inches,0.50 Pounds,/parts/mopar-screw-brake~5093297aa.html
8,5093302AA,PIN KIT Disc Brake,,"2013-2017, 2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,30.25,23.88,5.0 x 3.0 x 0.8 inches,0.70 Pounds,/parts/mopar-pin-disc-brake~5093302aa.html
11,68189419AA,KNUCKLE Rear,,2013-2014,"SRT, SRT GTS",10 Cyl 8.4L,,,5290124AH,,Left Rear,available,4650,3063.5,14.3 x 13.9 x 11.5 inches,21.00 Pounds,/parts/mopar-knuckle-rear~68189419aa.html
