ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,5LB41HL1AC,LEVER Parking Brake,,2013,"SRT, SRT GTS",10 Cyl 8.4L,,,5LB41HL1AF,,"[CMH] Or [CM5], Order Code VX",available,152,102.54,15.3 x 14.6 x 5.6 inches,3.20 Pounds,/parts/mopar-lever-parking-brake~5lb41hl1ac.html
1,5LB41LK5AC,LEVER Parking Brake,,2013,"SRT, SRT GTS",10 Cyl 8.4L,,,5LB41LK5AF,,"[CMH] Or [CM5], Order Code KX",available,145,98.02,15.6 x 14.9 x 5.4 inches,4.60 Pounds,/parts/mopar-lever-parking-brake~5lb41lk5ac.html
1,5LB41XR4AC,LEVER Parking Brake,,2013,"SRT, SRT GTS",10 Cyl 8.4L,,,5LB41XR4AF,,"[CMH] Or [CM5], Order Code RX",available,145,98.02,15.6 x 14.6 x 5.5 inches,3.30 Pounds,/parts/mopar-lever-parking-brake~5lb41xr4ac.html
1,5LB41YSAAC,LEVER Parking Brake,,2013,"SRT, SRT GTS",10 Cyl 8.4L,,,5LB41YSAAF,,"[CMH] Or [CM5], Order Code X9",available,177,119.57,15.8 x 14.9 x 5.6 inches,3.40 Pounds,/parts/mopar-lever-parking-brake~5lb41ysaac.html
2,6104197AA,BOLT Hex Flange Head M8X1.25X25.00,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,2,1,,6104155AA,,available,4.3,2.97,1.7 x 1.1 x 0.7 inches,0.40 Pounds,/parts/mopar-bolt-hex-flange-head~6104197aa.html
3,6104708AA,NUT Hex M6,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,5097674AA,,,available,15.95,14.51,0.5 x 0.5 x 0.3 inches,0.80 Pounds,/parts/mopar-nut-hex~6104708aa.html
5,5181738AB,CABLE Parking Brake,,2013,"SRT, SRT GTS",10 Cyl 8.4L,,,5181738AD,,Left Rear,available,104,69.41,26.8 x 17.7 x 2.1 inches,1.90 Pounds,/parts/mopar-cable-parking-brake~5181738ab.html
6,154910AA,SCREW Hex Flange Head .250-14x1.00,,"2013, 2008-2010, 2000-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT GTS, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",4,1,,,,available,8,5.59,2.0 x 0.5 x 0.5 inches,0.60 Pounds,/parts/mopar-screw-hex-flange-head~154910aa.html
7,6104197AA,BOLT Hex Flange Head M8X1.25X25.00,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,2,1,,6104155AA,,available,4.3,2.97,1.7 x 1.1 x 0.7 inches,0.40 Pounds,/parts/mopar-bolt-hex-flange-head~6104197aa.html
8,6105032AA,SCREW Hex Flange Head M5X0.8X20.00,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,2,1,,,,available,3.5,2.39,0.7 x 0.7 x 0.3 inches,0.40 Pounds,/parts/mopar-screw-hex-flange-head~6105032aa.html
