ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,1VX80DX8AA,MIRROR Outside Rearview,,2013-2015,"SRT, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,1VX80TZZAB,,"Right [GTK], [PX8]",available,1570,1035.1,16.1 x 6.9 x 6.7 inches,3.00 Pounds,/parts/mopar-mirror-outside-rearview~1vx80dx8aa.html
1,1VX80LBYAA,MIRROR Outside Rearview,,2013,"SRT, SRT GTS",10 Cyl 8.4L,,,1VX80TZZAB,,"Right [GTK], [PBY]",available,1570,1035.1,16.1 x 7.1 x 6.9 inches,2.90 Pounds,/parts/mopar-mirror-outside-rearview~1vx80lbyaa.html
1,1VX80LCCAA,MIRROR Outside Rearview,,2013-2015,"SRT, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,1VX80TZZAB,,"Right [GTK], [PCC]",available,1570,1063.33,16.1 x 7.0 x 7.1 inches,3.00 Pounds,/parts/mopar-mirror-outside-rearview~1vx80lccaa.html
1,1VX80LR7AA,MIRROR Outside Rearview,,2013-2015,"SRT, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,1VX80TZZAB,,"Right [GTK], [PR7]",available,1570,1035.1,16.3 x 7.1 x 6.8 inches,2.90 Pounds,/parts/mopar-mirror-outside-rearview~1vx80lr7aa.html
1,1VX80LRKAA,MIRROR Outside Rearview,,2013-2015,"SRT, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,1VX80TZZAB,,"Right [GTK], [PRK]",available,1570,1035.1,16.1 x 7.0 x 6.7 inches,3.00 Pounds,/parts/mopar-mirror-outside-rearview~1vx80lrkaa.html
1,1VX80SBEAA,MIRROR Outside Rearview,,2013,"SRT, SRT GTS",10 Cyl 8.4L,,,1VX80TZZAB,,"Right [GTK], [PBE]",available,1570,1035.1,16.0 x 7.7 x 6.8 inches,2.90 Pounds,/parts/mopar-mirror-outside-rearview~1vx80sbeaa.html
1,1VX80WYRAA,MIRROR Outside Rearview,,2013-2015,"SRT, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,1VX80TZZAB,,"Right [GTK], [PYR]",available,1570,1035.1,16.4 x 7.3 x 6.9 inches,2.90 Pounds,/parts/mopar-mirror-outside-rearview~1vx80wyraa.html
1,1VX81BWAAA,MIRROR Outside Rearview,,2013-2015,"SRT, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,1VX81TZZAB,,"Left [GTK], [PWA]",available,1325,871.2,16.5 x 7.2 x 6.9 inches,2.90 Pounds,/parts/mopar-mirror-outside-rearview~1vx81bwaaa.html
1,1VX81DX8AA,MIRROR Outside Rearview,,2013-2015,"SRT, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,1VX81TZZAB,,"Left [GTK], [PX8]",available,1325,871.2,15.9 x 6.8 x 7.0 inches,3.00 Pounds,/parts/mopar-mirror-outside-rearview~1vx81dx8aa.html
1,1VX81LBYAA,MIRROR Outside Rearview,,2013,"SRT, SRT GTS",10 Cyl 8.4L,,,1VX81TZZAB,,"Left [GTK], [PBY]",available,1325,871.2,16.5 x 6.8 x 7.0 inches,2.80 Pounds,/parts/mopar-mirror-outside-rearview~1vx81lbyaa.html
1,1VX81LCCAA,MIRROR Outside Rearview,,2013-2015,"SRT, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,1VX81TZZAB,,"Left [GTK], [PCC]",available,1325,871.2,16.1 x 7.5 x 6.8 inches,2.80 Pounds,/parts/mopar-mirror-outside-rearview~1vx81lccaa.html
1,1VX81LR7AA,MIRROR Outside Rearview,,2013-2015,"SRT, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,1VX81TZZAB,,"Left [GTK], [PR7]",available,1325,871.2,16.5 x 7.1 x 6.8 inches,2.90 Pounds,/parts/mopar-mirror-outside-rearview~1vx81lr7aa.html
1,1VX81LRKAA,MIRROR Outside Rearview,,2013-2015,"SRT, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,1VX81TZZAB,,"Left [GTK], [PRK]",available,1325,871.2,16.6 x 6.8 x 6.9 inches,2.90 Pounds,/parts/mopar-mirror-outside-rearview~1vx81lrkaa.html
1,1VX81SBEAA,MIRROR Outside Rearview,,2013,"SRT, SRT GTS",10 Cyl 8.4L,,,1VX81TZZAB,,"Left [GTK], [PBE]",available,1325,871.2,17.6 x 8.6 x 6.9 inches,2.70 Pounds,/parts/mopar-mirror-outside-rearview~1vx81sbeaa.html
1,1VX81WYRAA,MIRROR Outside Rearview,,2013-2015,"SRT, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,1VX81TZZAB,,"Left [GTK], [PYR]",available,1325,871.2,16.4 x 7.2 x 6.8 inches,2.80 Pounds,/parts/mopar-mirror-outside-rearview~1vx81wyraa.html
,6508886AA,NUT,,"2013-2017, 2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",3,1,,6102101AA,,available,,14.51,0.7 x 0.6 x 0.3 inches,0.40 Pounds,/parts/mopar-nut~6508886aa.html
