ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
2,6505628AA,SCREW AND WASHER Tapping Hex Head M4.2x1.41x20,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,10,1,,,,available,11.3,7.86,1.1 x 0.8 x 0.7 inches,0.50 Pounds,/parts/mopar-screw-tapping-hex-head~6505628aa.html
3,5029431AC,INSULATION Foil Backed Seal,Left,"2013-2017, 2010","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,,,,,,available,219,154.45,23.3 x 9.6 x 6.2 inches,1.80 Pounds,/parts/mopar-isolator-foil-backed-seal~5029431ac.html
4,5290325AA,SHIELD Exhaust Sill,,"2013-2017, 2009-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,Left Quarter Panel To Exhaust,available,47.55,40.74,14.3 x 6.8 x 0.2 inches,0.80 Pounds,/parts/mopar-shield-exhaust~5290325aa.html
5,5029319AC,SHIELD Heat,Left,2013,"SRT, SRT GTS",10 Cyl 8.4L,,,5029319AD,,,available,72.35,59.61,20.7 x 8.0 x 6.7 inches,1.10 Pounds,/parts/mopar-shield-heat~5029319ac.html
6,6505628AA,SCREW AND WASHER Tapping Hex Head M4.2x1.41x20,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,10,1,,,,available,11.3,7.86,1.1 x 0.8 x 0.7 inches,0.50 Pounds,/parts/mopar-screw-tapping-hex-head~6505628aa.html
7,6034645,RIVET .25 Grip-.06-.25,,"2013-2017, 2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,,,available,12.7,8.8,3.1 x 0.6 x 0.3 inches,0.50 Pounds,/parts/mopar-retainer~6034645.html
8,5290328AC,SHIELD Heat,,"2013-2017, 2009, 2003-2006","COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,"5290328AA, 5290328AB",,available,6.15,5.13,5.4 x 3.6 x 0.3 inches,0.70 Pounds,/parts/mopar-shield-heat~5290328ac.html
9,5290161AD,SHIELD Exhaust Sill,,"2013-2017, 2008-2010, 2004-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,Left Quarter Panel To Frame,available,366,295.54,53.6 x 13.0 x 4.8 inches,3.00 Pounds,/parts/mopar-shield-exhaust~5290161ad.html
10,5290149AC,SHIELD Heat,,"2013-2017, 2009-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,Left Torque box,available,38.8,31.75,12.4 x 10.2 x 0.2 inches,0.80 Pounds,/parts/mopar-shield-heat~5290149ac.html
11,6034944,RIVET Blind .187x.54,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,4,1,,,,available,7.6,3.97,1.8 x 0.6 x 0.6 inches,0.50 Pounds,/parts/mopar-rivet-blind~6034944.html
