ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,6504555,PUSH PIN M8X21,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,10,1,68365015AA,,,available,10.75,7.46,1.3 x 0.9 x 0.9 inches,0.50 Pounds,/parts/mopar-push-pin~6504555.html
2,68195689AD,PANEL Rear Fascia Valance,,2013,"SRT, SRT GTS",10 Cyl 8.4L,,,,"68140206AC, 68140206AA, 68195689AC, 68140206AB",,available,559,367.4,75.2 x 20.1 x 14.8 inches,4.00 Pounds,/parts/mopar-panel-rear-fascia-valance~68195689ad.html
2,68204726AC,PANEL Rear Fascia Valance,,2013-2015,"SRT, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,68204726AF,,[XAC],available,1550,1047.51,77.4 x 22.7 x 14.6 inches,16.50 Pounds,/parts/mopar-panel-rear-fascia-valance~68204726ac.html
5,6507326AA,PIN Push Foam Attaching,,"2013-2017, 2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,,,available,6.7,5.76,1.6 x 1.0 x 1.0 inches,0.50 Pounds,/parts/mopar-pin-push~6507326aa.html
6,68096362AA,ABSORBER Rear Energy Foam,,2013,"SRT, SRT GTS",10 Cyl 8.4L,,,,,,available,166,112.24,63.0 x 10.4 x 10.2 inches,4.60 Pounds,/parts/mopar-absorber-rear-energy~68096362aa.html
7,4865654AC,ABSORBER Rear Energy,,"2013-2017, 2008-2010, 2004-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,"5030562AB, 4865654AB",,available,450,369.98,56.1 x 13.0 x 11.6 inches,12.60 Pounds,/parts/mopar-absorber-rear-energy~4865654ac.html
8,5029209AA,PLATE Reinforcement,,"2013-2017, 2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",4,1,,,,available,4.05,3.14,3.2 x 1.8 x 0.5 inches,1.40 Pounds,/parts/mopar-shim-reinforcement~5029209aa.html
13,68141069AA,GRILLE Fascia Rear,Left,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,,,available,59.35,50.27,9.7 x 7.0 x 2.8 inches,0.60 Pounds,/parts/mopar-grille-fascia~68141069aa.html
15,68141021AA,BEZEL Fascia,Left,2013-2014,"SRT, SRT GTS",10 Cyl 8.4L,,,68141021AB,,,available,28.25,19.69,6.6 x 3.3 x 1.8 inches,0.70 Pounds,/parts/mopar-reflector-fascia~68141021aa.html
17,6105241AA,NUT U M6x1.00 Fascia Attaching,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,4,1,,,,available,5.05,3.44,9.4 x 9.4 x 6.2 inches,2.40 Pounds,/parts/mopar-nut-u~6105241aa.html
18,1UA96TZZAA,FASCIA Rear Primed,,,,,,,,,"[ML3]
[ML3], [M91]
[ML3], [M94]
[ML3], [M95]
[MLA]...View More",discontinued,,,,,
21,68194826AA,PANEL Diffuser Rear Fascia,,,,,,,,,[MBW],discontinued,,,,,
,6101635,BOLT M10x1.50x35 Absorber Attaching,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,6,1,,,,discontinued,,,1.6 x 0.7 x 0.7 inches,0.50 Pounds,/parts/mopar-bolt~6101635.html
