ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,5SE71AAAAA,BEZEL Seat Back,,2013-2016,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,5LX43AAAAA,,"Right or Left [-KX], [JTD], [LAX], [XSQ]
Right or Left [-RX], [JTD], [LAX], [XSQ]
Right or Left [-VX], [JTD], [LAX], [XSQ]
Right or Left [-X9], [JP8], [LAX], [CEM], [XSQ]
Right or Left [-X9], [JP8], [LAX], [CEQ], [XSQ]
Right or Left [-X9], [JP8], [LAX], [CXR], [XSQ]
Right or Left [-X9], [JP8], [LAX], [XSQ]
Right or Left [-X9], [JTD], [LAX], [XSQ]...View More",available,1935,1276,11.6 x 8.8 x 2.1 inches,0.90 Pounds,/parts/mopar-bezel-seat-back~5se71aaaaa.html
2,68206554AA,FOAM Seat Back,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,,,available,206,172.58,33.0 x 24.2 x 9.4 inches,3.80 Pounds,/parts/mopar-foam-seat-back~68206554aa.html
3,5NS92DX9AA,COVER Front Seat Back,,2013-2014,,10 Cyl 8.4L,,,,,"Right [-X9], [JP8], [LAX]
Right [-X9], [JP8], [LAX], [XSQ]",discontinued,,,,,
3,5NT75DX9AA,COVER Front Seat Back,,2013-2014,SRT,10 Cyl 8.4L,,,,5YT43DX9AA,"Left [-X9], [JP8], [CEQ]
Left [-X9], [JP8], [CEQ], [XSQ]",available,1110,752.58,33.3 x 24.2 x 4.2 inches,3.20 Pounds,/parts/mopar-cover-front-seat-back~5nt75dx9aa.html
3,5NT75LK5AA,COVER Front Seat Back,,2013-2014,SRT,10 Cyl 8.4L,,,,5NT751KXAA,"Left [-X9], [JP8], [CEM]
Left [-X9], [JP8], [CEM], [XSQ]",available,1220,824.9,33.0 x 25.0 x 4.1 inches,3.20 Pounds,/parts/mopar-cover-front-seat-back~5nt75lk5aa.html
3,5NT75XR4AA,COVER Front Seat Back,,2013-2014,SRT,10 Cyl 8.4L,,,,5NT751RXAA,"Left [-X9], [JP8], [CXR]
Left [-X9], [JP8], [CXR], [XSQ]",available,1205,811.34,32.3 x 24.7 x 4.2 inches,3.20 Pounds,/parts/mopar-cover-front-seat-back~5nt75xr4aa.html
3,5NT76DX9AA,COVER Front Seat Back,,2013-2014,SRT,10 Cyl 8.4L,,,,,"Right [-X9], [JP8], [LAX], [CEQ]
Right [-X9], [JP8], [LAX], [CEQ], [XSQ]",available,1220,824.9,33.3 x 25.2 x 4.2 inches,3.10 Pounds,/parts/mopar-cover-front-seat-back~5nt76dx9aa.html
3,5NT76LK5AA,COVER Front Seat Back,,2013-2014,SRT,10 Cyl 8.4L,,,,5NT761KXAA,"Right [-X9], [JP8], [LAX], [CEM]
Right [-X9], [JP8], [LAX], [CEM], [XSQ]",available,1220,824.9,33.6 x 24.7 x 4.2 inches,3.30 Pounds,/parts/mopar-cover-front-seat-back~5nt76lk5aa.html
3,5NT76XR4AA,COVER Front Seat Back,,2013-2014,SRT,10 Cyl 8.4L,,,,5NT761RXAA,"Right [-X9], [JP8], [LAX], [CXR]
Right [-X9], [JP8], [LAX], [CXR], [XSQ]",available,1220,824.9,33.6 x 25.2 x 4.2 inches,3.30 Pounds,/parts/mopar-cover-front-seat-back~5nt76xr4aa.html
3,5NT77LK5AA,COVER Front Seat Back,,2013-2014,SRT GTS,10 Cyl 8.4L,,,,5NT771KXAA,"Left [-KX], [JTD]
Left [-KX], [JTD], [XSQ]",available,1170,770,28.1 x 19.9 x 5.0 inches,2.20 Pounds,/parts/mopar-cover-front-seat-back~5nt77lk5aa.html
3,5NT77XR4AA,COVER Front Seat Back,,2013-2014,SRT GTS,10 Cyl 8.4L,,,,5NT771RXAA,"Left [-RX], [JTD]
Left [-RX], [JTD], [XSQ]",available,943,776.6,28.6 x 20.1 x 5.0 inches,2.20 Pounds,/parts/mopar-cover-front-seat-back~5nt77xr4aa.html
3,5NT77YSAAA,COVER Front Seat Back,,2013-2017,"SRT, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,5NT771SAAA,"Left [-X9], [JTD]
Left [-X9], [JTD], [XSQ]",discontinued,,,28.1 x 20.9 x 5.0 inches,2.20 Pounds,/parts/mopar-cover-front-seat-back~5nt77ysaaa.html
3,5NT78LK5AA,COVER Front Seat Back,,2013-2014,SRT GTS,10 Cyl 8.4L,,,,5NT781KXAA,"Right [-KX], [JTD], [LAX]
Right [-KX], [JTD], [LAX], [XSQ]",available,1175,774.4,27.5 x 20.3 x 5.0 inches,2.20 Pounds,/parts/mopar-cover-front-seat-back~5nt78lk5aa.html
3,5NT78XR4AA,COVER Front Seat Back,,2013-2014,SRT GTS,10 Cyl 8.4L,,,,5NT781RXAA,"Right [-RX], [JTD], [LAX]
Right [-RX], [JTD], [LAX], [XSQ]",available,1205,788.7,33.0 x 24.2 x 4.2 inches,3.30 Pounds,/parts/mopar-cover-front-seat-back~5nt78xr4aa.html
3,5NT78YSAAA,COVER Front Seat Back,,2013-2017,"SRT, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,"5NT78DX9AA, 5YT44DX9AA","Right [-X9], [JTD], [LAX]
Right [-X9], [JTD], [LAX], [XSQ]",discontinued,,,27.8 x 20.9 x 4.9 inches,2.20 Pounds,/parts/mopar-cover-front-seat-back~5nt78ysaaa.html
3,5NT79HL1AA,COVER Front Seat Back,,"2017, 2013-2014","SRT GTC, SRT GTS",10 Cyl 8.4L,,,,5NT791VVAA,"Left [-VX], [JTD]
Left [-VX], [JTD], [XSQ]",discontinued,,,32.6 x 24.5 x 4.1 inches,3.30 Pounds,/parts/mopar-cover-front-seat-back~5nt79hl1aa.html
3,5NT79YSAAA,COVER Front Seat Back,,2013-2017,"SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,5NT79DX9AA,"Left [-X9], [JTD]
Left [-X9], [JTD], [XSQ]",discontinued,,,32.6 x 25.2 x 4.0 inches,3.10 Pounds,/parts/mopar-cover-front-seat-back~5nt79ysaaa.html
3,5NT80HL1AA,COVER Front Seat Back,,"2017, 2013-2014","SRT GTC, SRT GTS",10 Cyl 8.4L,,,,5NT801VVAA,"Right [-VX], [JTD], [LAX]
Right [-VX], [JTD], [LAX], [XSQ]",discontinued,,,32.6 x 24.5 x 4.2 inches,3.10 Pounds,/parts/mopar-cover-front-seat-back~5nt80hl1aa.html
3,5NT80YSAAA,COVER Front Seat Back,,2013-2017,"SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,5NT80DX9AA,"Right [-X9], [JTD], [LAX]
Right [-X9], [JTD], [LAX], [XSQ]",discontinued,,,33.6 x 24.7 x 4.2 inches,3.20 Pounds,/parts/mopar-cover-front-seat-back~5nt80ysaaa.html
4,5NP79DX9AA,SEAT BACK Front,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,,,available,1270,832.7,30.0 x 24.3 x 9.9 inches,9.90 Pounds,/parts/mopar-seat-back-front~5np79dx9aa.html
5,5PH91DX9AA,PAN SEAT CUSHION,,2013-2017,"SRT, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,"5PH911KXAA, 5PH91YSAAA, 5PH911SAAA, 5PH911RXAA, 5PH911X6AA, 5PH911V5AA, 5PH912VXAA, 5PH91HL1AA, 5PH911VXAA, 5PH911VVAA, 5PH91XR4AA, 5PH911R8AA, 5PH91LK5AA, 5PH912X6AA, 5PH91LV5AA","Left [-KX], [JTD]
Left [-KX], [JTD], [XSQ]
Left [-RX], [JTD]
Left [-RX], [JTD], [XSQ]
Left [-VX], [JTD]
Left [-VX], [JTD], [XSQ]
Left [-X9], [JTD]
Left [-X9], [JTD], [XSQ]...View More",available,1275,841.5,44.1 x 25.4 x 14.7 inches,11.00 Pounds,/parts/mopar-pan-seat-cushion~5ph91dx9aa.html
5,5PH92DX9AA,PAN SEAT CUSHION,,2013-2017,"SRT, SRT ACR, SRT GTC",10 Cyl 8.4L,,,,"5PH92LK5AA, 5PH92XR4AA","Right [-X9], [JP8], [LAX]
Right [-X9], [JP8], [LAX], [CEM]
Right [-X9], [JP8], [LAX], [CEM], [XSQ]
Right [-X9], [JP8], [LAX], [CEQ]
Right [-X9], [JP8], [LAX], [CEQ], [XSQ]
Right [-X9], [JP8], [LAX], [CXR]
Right [-X9], [JP8], [LAX], [CXR], [XSQ]
Right [-X9], [JP8], [LAX], [XSQ]...View More",available,1240,816.2,42.8 x 25.0 x 14.6 inches,13.10 Pounds,/parts/mopar-pan-seat-cushion~5ph92dx9aa.html
5,5PH93DX9AA,PAN SEAT CUSHION,,2013-2017,"SRT, SRT ACR, SRT GTC",10 Cyl 8.4L,,,,"5PH93XR4AA, 5PH93LK5AA","Left [-X9], [JP8]
Left [-X9], [JP8], [CEM]
Left [-X9], [JP8], [CEM], [XSQ]
Left [-X9], [JP8], [CEQ]
Left [-X9], [JP8], [CEQ], [XSQ]
Left [-X9], [JP8], [CXR]
Left [-X9], [JP8], [CXR], [XSQ]
Left [-X9], [JP8], [XSQ]...View More",available,1275,841.5,43.7 x 24.2 x 14.7 inches,1.40 Pounds,/parts/mopar-pan-seat-cushion~5ph93dx9aa.html
6,5NT81DX9AA,COVER Front Seat Cushion,,2013-2014,SRT,10 Cyl 8.4L,,,,,"Right or Left [-X9], [JP8], [CEQ]
Right or Left [-X9], [JP8], [LAX], [CEQ], [XSQ]",available,980,670.32,25.2 x 24.7 x 4.8 inches,4.40 Pounds,/parts/mopar-cover-front-seat-cushion~5nt81dx9aa.html
6,5NT81LK5AA,COVER Front Seat Cushion,,2013-2014,SRT,10 Cyl 8.4L,,,,5NT811KXAA,"Right or Left [-X9], [JP8], [CEM]
Right or Left [-X9], [JP8], [LAX], [CEM], [XSQ]",available,980,670.32,33.3 x 25.2 x 4.2 inches,3.10 Pounds,/parts/mopar-cover-front-seat-cushion~5nt81lk5aa.html
6,5NT81XR4AA,COVER Front Seat Cushion,,2013-2014,SRT,10 Cyl 8.4L,,,,5NT811RXAA,"Right or Left [-X9], [JP8], [CXR]
Right or Left [-X9], [JP8], [LAX], [CXR], [XSQ]",available,1100,739.02,32.3 x 24.7 x 4.2 inches,3.20 Pounds,/parts/mopar-cover-front-seat-cushion~5nt81xr4aa.html
6,5NT82LK5AA,COVER Front Seat Cushion,,2013-2014,SRT GTS,10 Cyl 8.4L,,,,5NT821KXAA,"Right or Left [-KX], [JTD]
Right or Left [-KX], [JTD], [LAX], [XSQ]",available,997,657.8,28.3 x 17.9 x 4.8 inches,2.60 Pounds,/parts/mopar-cover-front-seat-cushion~5nt82lk5aa.html
6,5NT82XR4AA,COVER Front Seat Cushion,,2013-2014,SRT GTS,10 Cyl 8.4L,,,,5NT821RXAA,"Right or Left [-RX], [JTD]
Right or Left [-RX], [JTD], [LAX], [XSQ]",available,1030,677.6,28.6 x 17.4 x 4.8 inches,2.60 Pounds,/parts/mopar-cover-front-seat-cushion~5nt82xr4aa.html
6,5NT82YSAAA,COVER Front Seat Cushion,,2013-2017,"SRT, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,"5NT82DX9AA, 5NT821SAAA","Right or Left [-X9], [JTD]
Right or Left [-X9], [JTD], [LAX], [XSQ]",discontinued,,,27.8 x 18.1 x 4.8 inches,1.70 Pounds,/parts/mopar-cover-front-seat-cushion~5nt82ysaaa.html
6,5NT83HL1AA,COVER Front Seat Cushion,,"2017, 2013-2015","SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,5NT83HL1AB,,"Right or Left [-VX], [JTD]
Right or Left [-VX], [JTD], [LAX], [XSQ]",available,1500,1012.48,34.1 x 25.0 x 4.8 inches,4.80 Pounds,/parts/mopar-cover-front-seat-cushion~5nt83hl1aa.html
6,5NT83YSAAA,COVER Front Seat Cushion,,2013-2017,"SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,5NT83YSAAB,,"Right or Left [-X9], [JTD]
Right or Left [-X9], [JTD], [LAX], [XSQ]",available,1270,859.93,32.6 x 25.0 x 4.2 inches,3.00 Pounds,/parts/mopar-cover-front-seat-cushion~5nt83ysaaa.html
7,68206548AB,FOAM Seat Cushion,,2013-2014,"SRT, SRT GTS",10 Cyl 8.4L,,,68206548AE,,"Right [JP8], [LAX]
Right [JP8], [LAX], [CXR]
Right [JP8], [LAX], [CXR], [XSQ]
Right [JP8], [LAX], [XSQ]
Right [JTD], [LAX]
Right [JTD], [LAX], [XSQ]...View More",available,867,572,29.1 x 24.2 x 9.5 inches,7.00 Pounds,/parts/mopar-foam-seat-cushion~68206548ab.html
