ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,5037708AC,COVER Timing Case,,"2013-2015, 2008-2010","ACR-X Coupe, COMP. Coupe, SRT, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,,,,,,discontinued,,,25.3 x 14.4 x 8.3 inches,24.20 Pounds,/parts/mopar-cover-timing-case~5037708ac.html
2,5037067AD,GASKET Timing Case Cover,,"2013-2017, 2008-2010, 2005-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,discontinued,,,34.4 x 2.6 x 0.5 inches,0.50 Pounds,/parts/mopar-gasket-timing-case-cover~5037067ad.html
3,5015248AB,SCREW Bleeder,,"2013-2017, 2008-2010, 1992-1996","ACR-X Coupe, COMP. Coupe, GTS Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.4L",,,,"3780788AB, 3780788, J3203313",,available,30.3,20.97,1.2 x 0.5 x 0.4 inches,0.50 Pounds,/parts/mopar-bleeder-bleeder~5015248ab.html
4,6035854,NIPPLE .375-18X2.00,,"2013-2014, 2008-2010, 2003","ACR-X Coupe, COMP. Coupe, SRT, SRT GTS, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",2,1,6036575AA,,,available,15.85,11.07,2.1 x 0.8 x 0.8 inches,0.50 Pounds,/parts/mopar-nipple~6035854.html
5,6505388AA,BOLT Torx M6X1.00X18.00,,"2013-2017, 2008-2010","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,9,1,,,,available,2.7,1.86,0.7 x 0.5 x 0.5 inches,0.50 Pounds,/parts/mopar-bolt-torx~6505388aa.html
6,5037942AB,COVER Engine Oil Pump,,"2013-2017, 2008-2010","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,,,,,,available,241,167.42,13.8 x 10.1 x 0.6 inches,2.10 Pounds,/parts/mopar-cover-engine-oil-pump~5037942ab.html
7,5037947AA,ROTOR SET Oil Pump,,"2013-2017, 2008-2010","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,,,,,,available,410,274.1,5.4 x 4.8 x 3.2 inches,1.30 Pounds,/parts/mopar-rotor-oil-pump~5037947aa.html
8,5037929AB,BODY Oil Pump Pressure,,"2013-2017, 2008-2010","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,,,,,,discontinued,,,3.8 x 2.5 x 1.9 inches,0.80 Pounds,/parts/mopar-body-oil-pump-pressure~5037929ab.html
9,5038041AA,FILTER Engine Oil,,,,,,,,,,available,36.1,23.87,,,/parts/mopar-accessories_filter_engine_oil-5038041aa.html
10,5037973AA,CONNECTOR Oil Filter Adapter,,"2013-2017, 2008-2010","COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,,,,,,available,11.15,7.75,1.6 x 0.7 x 0.7 inches,0.60 Pounds,/parts/mopar-adapter-oil-filter-adapter~5037973aa.html
11,5037316AC,FITTING Male,,"2013-2017, 2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,5037316AD,,,available,16.35,11.3,1.5 x 1.2 x 1.2 inches,0.50 Pounds,/parts/mopar-connector-male~5037316ac.html
12,6036391AA,NIPPLE,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,,,discontinued,,,2.3 x 0.6 x 0.6 inches,0.80 Pounds,/parts/mopar-nipple~6036391aa.html
13,6510460AA,BOLT AND CONED WASHER Hex Head M8X1.25X78.00,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,8,1,,,,available,4.95,3.73,3.4 x 0.6 x 0.6 inches,0.70 Pounds,/parts/mopar-bolt-hex-head~6510460aa.html
14,6502929,BOLT Hex Head Locking M8X1.25X119.00,,"2013-2017, 2008-2010","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,3,1,,,,available,12.7,8.68,5.2 x 0.7 x 0.7 inches,0.50 Pounds,/parts/mopar-screw-hex-head-locking~6502929.html
15,5245135,SEAL Crankshaft Oil Front,,"2013-2017, 2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,65.2,45.38,1.9 x 1.9 x 0.3 inches,0.50 Pounds,/parts/mopar-seal-crankshaft-oil~5245135.html
