ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,68139711AB,SHIELD Splash,Left,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,,,available,423,282.1,21.8 x 21.2 x 3.3 inches,2.80 Pounds,/parts/mopar-shield-splash~68139711ab.html
4,68142981AA,PANEL Radiator Closure,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,,,available,45.4,37.69,36.8 x 13.1 x 1.9 inches,2.10 Pounds,/parts/mopar-panel-radiator-closure~68142981aa.html
7,68141093AA,AIR DUCT Brake Cooling,Left,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,,,available,72.35,59.46,15.6 x 9.7 x 9.0 inches,2.40 Pounds,/parts/mopar-air-duct-brake-cooling~68141093aa.html
9,68171669AA,DUCT AIR,Left,2013-2015,"SRT, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,,,available,57.3,32.37,,1.60 Pounds,/parts/mopar-duct-air~68171669aa.html
11,68096346AA,ABSORBER Front Energy,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,,,available,429,343.42,59.1 x 15.2 x 13.2 inches,18.90 Pounds,/parts/mopar-absorber-front-energy~68096346aa.html
16,68199656AA,BRACKET Fascia Support,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,,,available,241,195.75,24.0 x 19.7 x 4.5 inches,1.40 Pounds,/parts/mopar-bracket-fascia-support~68199656aa.html
17,68141085AB,GRILLE Radiator,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,68141085AA,,available,170,133.88,18.2 x 18.2 x 8.1 inches,6.90 Pounds,/parts/mopar-grille-radiator~68141085ab.html
21,1WC63DX8AA,BEZEL Air Inlet,Left,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,,,available,81.95,66.66,12.1 x 3.2 x 1.9 inches,0.70 Pounds,/parts/mopar-bezel-air-inlet~1wc63dx8aa.html
21,68191402AA,BEZEL Air Inlet,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,,Right [MBK],available,881,739.86,14.9 x 3.4 x 3.7 inches,2.60 Pounds,/parts/mopar-bezel-air-inlet~68191402aa.html
21,68191403AA,BEZEL Air Inlet,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,,Left [MBK],available,855,718.2,14.9 x 3.4 x 3.7 inches,2.60 Pounds,/parts/mopar-bezel-air-inlet~68191403aa.html
23,68194268AB,LAMP Side Marker,Right,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,68194268AA,,available,47.8,33.38,6.6 x 3.4 x 1.8 inches,0.50 Pounds,/parts/mopar-lamp-side-marker~68194268ab.html
25,68195684AB,FASCIA Front Primed,,2013-2014,"SRT, SRT GTS",10 Cyl 8.4L,,,68110835AD,,,discontinued,,,,37.40 Pounds,/parts/mopar-fascia-front~68195684ab.html
