ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,5264988AI,LINE A/C Suction,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,,,unavailable,83,69.94,44.0 x 12.1 x 10.9 inches,1.90 Pounds,/parts/mopar-line-a-c-suction~5264988ai.html
2,5019242AA,CAP A/C Charge Valve,,"2013-2017, 2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,6.7,4.54,5.2 x 2.6 x 1.0 inches,0.50 Pounds,/parts/mopar-cap-a-c-charge-valve~5019242aa.html
3,68202611AA,VALVE CORE A/C Line,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,,,available,17.4,11.36,,0.40 Pounds,/parts/mopar-valvecore-a-c-line~68202611aa.html
4,5072893AA,O RING A/C Line 5/8,,"2013-2017, 2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,10.1,6.99,0.8 x 0.8 x 0.1 inches,0.40 Pounds,/parts/mopar-o-ring-a-c-line~5072893aa.html
5,68028717AA,O RING A/C Line,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,,,available,1.35,0.79,,0.80 Pounds,/parts/mopar-o-ring-a-c-line~68028717aa.html
6,68202830AA,CLIP A/C Line,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,,,available,1,0.64,,0.40 Pounds,/parts/mopar-clip-a-c-line~68202830aa.html
7,5264927AE,LINE A/C Discharge,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,,,available,241,195.75,18.9 x 5.1 x 3.9 inches,1.00 Pounds,/parts/mopar-line-a-c-discharge~5264927ae.html
8,5183358AA,O RING A/C Line,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,68040260AA,,available,24.55,16.95,0.1 x 0.4 x 0.4 inches,0.40 Pounds,/parts/mopar-o-ring-a-c-line~5183358aa.html
9,5072868AA,O RING A/C Line 1/2,,"2013-2017, 2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,9.75,6.76,0.8 x 0.8 x 0.3 inches,0.40 Pounds,/parts/mopar-o-ring-a-c-line~5072868aa.html
10,5093078AA,CLIP A/C Line,,"2013-2017, 2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,22.3,18.52,1.8 x 0.3 x 0.6 inches,0.80 Pounds,/parts/mopar-clip-a-c-line~5093078aa.html
