ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,68206848AA,WINDSHIELD,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,4865461AD,,unavailable,1210,1003.44,68.7 x 50.4 x 8.1 inches,49.10 Pounds,/parts/mopar-w-shield~68206848aa.html
2,4864015AC,INSTALLATION PACKAGE Windshield Glass Spacers plus urethane,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,8,1,4864015AD,,,available,113,51.01,10.6 x 4.4 x 2.3 inches,2.70 Pounds,/parts/mopar-instalpkg-windshieldglass~4864015ac.html
3,68139704AB,GLASS Front Door,,2015-2016,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,68139704AC,,Right 4.0 After 8/04/2014,available,361,243.65,39.9 x 27.0 x 3.1 inches,11.10 Pounds,/parts/mopar-glass-front-door~68139704ab.html
3,68139704AA,GLASS Front Door,,2013-2015,"SRT, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,68139704AC,,Right 3.2 Up to 8/04/2014,unavailable,361,243.65,38.4 x 27.3 x 3.0 inches,11.80 Pounds,/parts/mopar-glass-front-door~68139704aa.html
3,68139705AB,GLASS Front Door,,2015-2016,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,68139705AC,,Left 4.0 After 8/04/2014,available,330,222.22,35.5 x 27.5 x 1.8 inches,9.60 Pounds,/parts/mopar-glass-front-door~68139705ab.html
4,6102204AA,SCREW AND WASHER Hex Head M6X1.00X20.00,,"2013-2017, 2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,,,available,8.75,7.57,1.0 x 0.8 x 0.8 inches,0.60 Pounds,/parts/mopar-screw-hex-head~6102204aa.html
5,68110780AC,GLASS Liftgate,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,"68110780AA, 68110780AB",,available,1465,989.88,71.4 x 48.4 x 3.1 inches,24.20 Pounds,/parts/mopar-backlite-liftgate~68110780ac.html
7,68202417AC,FRAME Windshield,,2015,"SRT, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,68202417AD,,,available,1025,692.69,43.8 x 43.4 x 14.5 inches,35.80 Pounds,/parts/mopar-frame-windshield~68202417ac.html
8,4278662,SPACER,,"2014-2017, 2008-2010, 2005-2006, 1996-2002","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",8,1,,,,available,4.15,2.85,1.3 x 0.6 x 0.5 inches,0.50 Pounds,/parts/mopar-spacer~4278662.html
,68349600AA,RETAINER Glass to Liftplate Roller Guide,,2013-2016,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,2,1,,,Front Door White,available,5.6,3.84,1.6 x 1.5 x 0.6 inches,0.40 Pounds,/parts/mopar-retainer-glass-to-liftplate~68349600aa.html
