ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,5NJ24DX9AA,SHIELD Recliner,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,,"Right Inboard [-KX], [JTD], [LAX]
Right Inboard [-R9], [JTD], [LAX]
Right Inboard [-RX], [JTD], [LAX]
Right Inboard [-V5], [JTD], [LAX]
Right Inboard [-VV], [JTD], [LAX]
Right Inboard [-VX], [JTD], [LAX]
Right Inboard [-X6], [JTD], [LAX]
Right Inboard [-X9], [JTD], [LAX]...View More",available,33.7,23.53,11.8 x 9.2 x 2.1 inches,1.10 Pounds,/parts/mopar-shield-recliner~5nj24dx9aa.html
1,5NJ25DX9AA,SHIELD Recliner,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,,"Left Inboard [-R9], [JTD]
Left Inboard [-V5], [JTD]
Left Inboard [-VV], [JTD]
Left Inboard [-VX], [JTD]
Left Inboard [-VX], [JTJ], [MS7]
Left Inboard [-VX], [JTJ], [MS7], [XSQ]
Left Inboard [-X6], [JTD]
Left Inboard [-X6], [JTJ], [MS7]
Left Inboard [-X6], [JTJ], [MS7], [XSQ]
Left Inboard [-X9], [JTD]
Left Inboard [-X9], [JTJ], [MS7]
Left Inboard [-X9], [JTJ], [MS7], [XSQ]...View More",available,27.75,24.23,11.6 x 8.9 x 2.1 inches,1.10 Pounds,/parts/mopar-shield-recliner~5nj25dx9aa.html
1,5NJ30DX9AA,SHIELD Recliner,,2013-2017,"SRT, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,"5NJ30DX0AA, 5NJ30XR4AA, 5NJ30LK5AA","Right Outboard [-KX], [JTD], [LAX]
Right Outboard [-KX], [JTD], [LAX], [XSQ]
Right Outboard [-R9], [JTD], [LAX]
Right Outboard [-R9], [JTD], [LAX], [XSQ]
Right Outboard [-RX], [JTD], [LAX]
Right Outboard [-RX], [JTD], [LAX], [XSQ]
Right Outboard [-V5], [JTD], [LAX]
Right Outboard [-V5], [JTD], [LAX], [XSQ]
Right Outboard [-VV], [JTD], [LAX]
Right Outboard [-VV], [JTD], [LAX], [XSQ]
Right Outboard [-VX], [JTD], [LAX]
Right Outboard [-VX], [JTD], [LAX], [XSQ]
Right Outboard [-X6], [JTD], [LAX]
Right Outboard [-X6], [JTD], [LAX], [XSQ]
Right Outboard [-X9], [JTD], [LAX]
Right Outboard [-X9], [JTD], [LAX], [XSQ]...View More",available,27.75,24.23,12.2 x 9.4 x 3.1 inches,0.90 Pounds,/parts/mopar-shield-recliner~5nj30dx9aa.html
1,5NJ31DX9AA,SHIELD Recliner,,2013-2017,"SRT, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,"5NJ31XR4AA, 5NJ31LK5AA","Left Outboard [-R9], [JTD]
Left Outboard [-R9], [JTD], [XSQ]
Left Outboard [-V5], [JTD]
Left Outboard [-V5], [JTD], [XSQ]
Left Outboard [-VV], [JTD]
Left Outboard [-VV], [JTD], [XSQ]
Left Outboard [-VX], [JTD]
Left Outboard [-VX], [JTD], [XSQ]
Left Outboard [-VX], [JTJ], [MS7]
Left Outboard [-VX], [JTJ], [MS7], [XSQ]
Left Outboard [-X6], [JTD]
Left Outboard [-X6], [JTD], [XSQ]
Left Outboard [-X6], [JTJ], [MS7]
Left Outboard [-X6], [JTJ], [MS7], [XSQ]
Left Outboard [-X9], [JTD]
Left Outboard [-X9], [JTD], [XSQ]
Left Outboard [-X9], [JTJ], [MS7]
Left Outboard [-X9], [JTJ], [MS7], [XSQ]...View More",available,27.75,24.23,11.7 x 9.2 x 2.1 inches,1.10 Pounds,/parts/mopar-shield-recliner~5nj31dx9aa.html
3,68210980AA,CABLE Seat Back Release Recliner,,2013-2017,"SRT, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,,,available,137,92.14,13.3 x 1.3 x 1.3 inches,0.60 Pounds,/parts/mopar-cable-seat-back-release~68210980aa.html
4,5NJ28DX9AA,SHIELD Seat,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,,"Right Inboard [-R9], [JTD], [LAX]
Right Inboard [-R9], [JTD], [LAX], [XSQ]
Right Inboard [-V5], [JTD], [LAX]
Right Inboard [-V5], [JTD], [LAX], [XSQ]
Right Inboard [-VV], [JTD], [LAX]
Right Inboard [-VV], [JTD], [LAX], [XSQ]
Right Inboard [-VX], [JTD], [LAX]
Right Inboard [-VX], [JTD], [LAX], [XSQ]
Right Inboard [-X6], [JTD], [LAX]
Right Inboard [-X6], [JTD], [LAX], [XSQ]
Right Inboard [-X9], [JTD], [LAX]
Right Inboard [-X9], [JTD], [LAX], [XSQ]...View More",discontinued,,,11.5 x 9.3 x 2.0 inches,1.00 Pounds,/parts/mopar-shield-seat~5nj28dx9aa.html
4,5NJ29DX9AA,SHIELD Seat,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,,"Left Inboard [-R9], [JTD]
Left Inboard [-R9], [JTD], [XSQ]
Left Inboard [-V5], [JTD]
Left Inboard [-V5], [JTD], [XSQ]
Left Inboard [-VV], [JTD]
Left Inboard [-VV], [JTD], [XSQ]
Left Inboard [-VX], [JTD]
Left Inboard [-VX], [JTD], [XSQ]
Left Inboard [-VX], [JTJ], [MS7]
Left Inboard [-VX], [JTJ], [MS7], [XSQ]
Left Inboard [-X6], [JTD]
Left Inboard [-X6], [JTD], [XSQ]
Left Inboard [-X6], [JTJ], [MS7]
Left Inboard [-X6], [JTJ], [MS7], [XSQ]
Left Inboard [-X9], [JTD]
Left Inboard [-X9], [JTD], [XSQ]
Left Inboard [-X9], [JTJ], [MS7]
Left Inboard [-X9], [JTJ], [MS7], [XSQ]...View More",discontinued,,,11.7 x 8.8 x 2.1 inches,1.00 Pounds,/parts/mopar-shield-seat~5nj29dx9aa.html
4,5NJ34DX9AA,SHIELD Seat,,2013-2017,"SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,"5NJ34XR4AA, 5NJ34LK5AA","Right Outboard [-R9], [JTD], [LAX]
Right Outboard [-R9], [JTD], [LAX], [XSQ]
Right Outboard [-V5], [JTD], [LAX]
Right Outboard [-V5], [JTD], [LAX], [XSQ]
Right Outboard [-VV], [JTD], [LAX]
Right Outboard [-VV], [JTD], [LAX], [XSQ]
Right Outboard [-VX], [JTD], [LAX]
Right Outboard [-VX], [JTD], [LAX], [XSQ]
Right Outboard [-X6], [JTD], [LAX]
Right Outboard [-X6], [JTD], [LAX], [XSQ]
Right Outboard [-X9], [JTD], [LAX]
Right Outboard [-X9], [JTD], [LAX], [XSQ]...View More",discontinued,,,26.5 x 6.1 x 4.1 inches,2.00 Pounds,/parts/mopar-shield-seat~5nj34dx9aa.html
4,5NJ35DX9AA,SHIELD Seat,,2013-2017,"SRT, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,"5NJ35LK5AA, 5NJ35XR4AA","Left Outboard [-R9], [JTD]
Left Outboard [-R9], [JTD], [XSQ]
Left Outboard [-V5], [JTD]
Left Outboard [-V5], [JTD], [XSQ]
Left Outboard [-VV], [JTD]
Left Outboard [-VV], [JTD], [XSQ]
Left Outboard [-VX], [JTD]
Left Outboard [-VX], [JTD], [XSQ]
Left Outboard [-VX], [JTJ], [MS7]
Left Outboard [-VX], [JTJ], [MS7], [XSQ]
Left Outboard [-X6], [JTD]
Left Outboard [-X6], [JTD], [XSQ]
Left Outboard [-X6], [JTJ], [MS7]
Left Outboard [-X6], [JTJ], [MS7], [XSQ]
Left Outboard [-X9], [JTD]
Left Outboard [-X9], [JTD], [XSQ]
Left Outboard [-X9], [JTJ], [MS7]
Left Outboard [-X9], [JTJ], [MS7], [XSQ]...View More",discontinued,,,27.0 x 6.4 x 4.2 inches,2.00 Pounds,/parts/mopar-shield-seat~5nj35dx9aa.html
6,68210981AA,CABLE Seat Adjuster Height Adjustment,,2013-2017,"SRT, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,,,available,169,109.63,15.6 x 1.3 x 1.3 inches,0.60 Pounds,/parts/mopar-cable-seat-adjuster~68210981aa.html
