ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,4626487,SNAP RING,,"2013-2017, 2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,11.8,8.16,1.9 x 1.9 x 0.2 inches,0.40 Pounds,/parts/mopar-ring~4626487.html
2,68199052AA,BLOCKER RING 3rd To 4th,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,68199052AB,,,available,291,194.63,4.8 x 4.4 x 2.0 inches,1.40 Pounds,/parts/mopar-ring-3rd-to-4th~68199052aa.html
3,68199051AA,SYNCHRONIZER,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,,,available,605,394.9,6.4 x 5.6 x 2.7 inches,2.40 Pounds,/parts/mopar-synch~68199051aa.html
4,68199052AA,BLOCKER RING 3rd To 4th,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,68199052AB,,,available,291,194.63,4.8 x 4.4 x 2.0 inches,1.40 Pounds,/parts/mopar-ring-3rd-to-4th~68199052aa.html
5,68029144AA,SPACER Third Gear,,"2013-2017, 2008-2010","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,,,,,,available,9.45,6.52,1.4 x 1.4 x 0.1 inches,0.50 Pounds,/parts/mopar-shim-third-gear~68029144aa.html
6,4626469,NEEDLE BEARING 2nd/3rd Gear,,"2013-2017, 2008-2010, 1992-2006","29; ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,,,available,39.3,27.32,3.2 x 3.1 x 1.6 inches,0.50 Pounds,/parts/mopar-bearing-2nd-3rd-gear~4626469.html
7,68207328AA,GEAR Third,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,,,unavailable,270,221.09,6.4 x 6.3 x 2.8 inches,2.80 Pounds,/parts/mopar-gear-third~68207328aa.html
8,68211563AA,MAINSHAFT Transmission,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,,,available,566,463.1,7.5 x 7.5 x 4.9 inches,14.90 Pounds,/parts/mopar-shaft-transmission~68211563aa.html
9,4626469,NEEDLE BEARING 2nd/3rd Gear,,"2013-2017, 2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,39.3,27.32,3.2 x 3.1 x 1.6 inches,0.50 Pounds,/parts/mopar-bearing-2nd-3rd-gear~4626469.html
10,68207327AA,GEAR Second,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,,,available,319,208.13,6.0 x 5.8 x 2.8 inches,3.10 Pounds,/parts/mopar-gear-second~68207327aa.html
