ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,82214236,EFFECTS KIT Ground,,,,,,,,,,discontinued,,,,,/parts/mopar-accessories_effects_ground-82214236.html
2,68194698AB,PANEL Rear Fascia Valance,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,68194698AA,,discontinued,,,74.5 x 15.6 x 11.1 inches,7.80 Pounds,/parts/mopar-panel-rear-fascia-valance~68194698ab.html
3,6510612AA,CLIP U Type M7.90X7.90,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,6,1,,,,available,2.3,1.34,,3.70 Pounds,/parts/mopar-clip-u-type~6510612aa.html
4,82214237,EFFECTS KIT Ground,,,,,,,,,,available,4580,4093.6,,,/parts/mopar-accessories_effects_ground-82214237.html
5,68191403AA,BEZEL Air Inlet,Left,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,,,available,855,718.2,14.9 x 3.4 x 3.7 inches,2.60 Pounds,/parts/mopar-bezel-air-inlet~68191403aa.html
6,6510611AA,PUSH NUT,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,8,1,,,,available,2.3,1.34,1.2 x 0.7 x 0.3 inches,0.40 Pounds,/parts/mopar-nut~6510611aa.html
7,68191405AB,PANEL Inlet Duct Rear Brake Cooling,Left,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,68191405AA,,available,2175,1469,41.5 x 11.9 x 3.3 inches,3.20 Pounds,/parts/mopar-panel-inlet-duct~68191405ab.html
8,82214238,EFFECTS KIT Ground,,,,,,,,,,discontinued,,,,,/parts/mopar-accessories_effects_ground-82214238.html
9,68187848AA,SPOILER Liftgate,,2013-2016,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,68187848AB,,,available,5345,3621.65,66.8 x 13.5 x 3.0 inches,3.30 Pounds,/parts/mopar-spoiler-liftgate~68187848aa.html
10,68210709AA,PANEL Underbody Front,Left,2014-2016,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,68210709AB,,,available,2515,214.56,21.3 x 20.5 x 4.2 inches,3.80 Pounds,/parts/mopar-panel-underbody-front~68210709aa.html
11,6035201,RIVET,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,8,1,,,,available,12.2,8.45,2.8 x 1.0 x 0.9 inches,0.40 Pounds,/parts/mopar-rivet~6035201.html
