ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,4865678AH,GEAR Rack and Pinion,,"2013-2017, 2008-2010, 2005-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,"4865678AE, 4865678AD, 4865678AB, 4865678AC",,discontinued,,,60.9 x 10.1 x 6.7 inches,24.80 Pounds,/parts/mopar-gear-rack-and-pinion~4865678ah.html
2,6506039AA,SCREW Hex Head,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,2,1,,,,available,56.75,39.49,6.2 x 1.8 x 1.7 inches,1.00 Pounds,/parts/mopar-screw-hex-head~6506039aa.html
3,4642116,ISOLATOR Steering Gear,,"2013-2017, 2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",4,1,,,,discontinued,,,1.3 x 1.7 x 1.3 inches,0.60 Pounds,/parts/mopar-insulator-steering-gear~4642116.html
4,4708035AB,O RING,,"2013-2017, 2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,4708035,,available,4.5,2.62,1.7 x 1.7 x 0.1 inches,0.50 Pounds,/parts/mopar-o-ring~4708035ab.html
5,4708475,SHIM Steering Gear 0.5mm,,"2013-2017, 2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,9.3,6.6,,0.70 Pounds,/parts/mopar-spacer-steering-gear~4708475.html
6,4708070,SHIM Steering Gear 1.0mm,,"2013-2017, 2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,,,discontinued,,,1.8 x 1.7 x 0.1 inches,0.60 Pounds,/parts/mopar-spacer-steering-gear~4708070.html
7,4708068,SHIM Steering Gear 1.5mm,,"2013-2017, 2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,,,discontinued,,,1.8 x 1.6 x 0.1 inches,0.40 Pounds,/parts/mopar-spacer-steering-gear~4708068.html
8,4708069,SHIM Steering Gear 3.0mm,,"2013-2017, 2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",6,1,,,,discontinued,,,1.9 x 1.7 x 0.1 inches,0.50 Pounds,/parts/mopar-spacer-steering-gear~4708069.html
9,6506557AA,NUT AND WASHER Hex Lock M14x1.50,,"2013-2017, 2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,,,available,9,6.17,1.4 x 1.4 x 1.0 inches,0.50 Pounds,/parts/mopar-nut-hex-lock~6506557aa.html
10,6509070AA,NUT AND RETAINER Hex Flange Lock M16x2.00x133.00,,2015-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,,,available,17.65,12.17,0.9 x 1.5 x 5.2 inches,0.60 Pounds,/parts/mopar-nut-hex-flange-lock~6509070aa.html
