ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,5NP571R8AA,WHEEL Steering,,2016-2017,"SRT, SRT ACR, SRT GTC, SRT GTS",10 Cyl 8.4L,,,,5NP571R9AA,"[-R9],[SCC] OR [SCG]",available,837,552.2,16.6 x 16.8 x 7.3 inches,5.20 Pounds,/parts/mopar-wheel-steering~5np571r8aa.html
1,5NP571R9AA,WHEEL Steering,,2016,"SRT, SRT ACR, SRT GTC, SRT GTS",10 Cyl 8.4L,,,5NP571R8AA,,"[-R9],[SCC] OR [SCG], [XSQ] AND/OR [AZA] AND/OR [MTR]",available,837,572.28,16.5 x 16.2 x 7.2 inches,7.20 Pounds,/parts/mopar-wheel-steering~5np571r9aa.html
1,5NP571X6AA,WHEEL Steering,,2016-2017,"SRT, SRT ACR, SRT GTC, SRT GTS",10 Cyl 8.4L,,,,,"[-X6],[SCC] OR [SCG]
[-X6],[SCC] OR [SCG], [XSQ] AND/OR [AZA] AND/OR [MTR]",available,837,552.2,16.6 x 17.0 x 7.2 inches,5.30 Pounds,/parts/mopar-wheel-steering~5np571x6aa.html
1,5NP57HL1AA,WHEEL Steering,,2014-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,5NP57LV5AA,"[-VV],[SCC] OR [SCG]
[-VV],[SCC] OR [SCG], [XSQ] AND/OR [AZA] AND/OR [MTR]
[-VX],[SCC] OR [SCG]
[-VX],[SCC] OR [SCG], [XSQ] AND/OR [AZA] AND/OR [MTR]...View More",available,1110,728.2,16.3 x 16.6 x 7.3 inches,7.20 Pounds,/parts/mopar-wheel-steering~5np57hl1aa.html
1,5NP57YSAAA,WHEEL Steering,,2014-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,,"[-X9],[SCC] OR [SCG]
[-X9],[SCC] OR [SCG], [XSQ] AND/OR [AZA] AND/OR [MTR]",available,564,455.4,16.8 x 16.6 x 7.2 inches,7.20 Pounds,/parts/mopar-wheel-steering~5np57ysaaa.html
1,6EZ171X9AA,WHEEL Steering,,2016-2017,"SRT, SRT ACR, SRT GTC, SRT GTS",10 Cyl 8.4L,,,,6EZ17DX9AA,"[-X9],[SCE], [XSQ]
[-X9][SCE]",available,1610,1058.2,15.5 x 15.5 x 8.6 inches,4.70 Pounds,/parts/mopar-wheel-steering~6ez171x9aa.html
1,6EZ171XRAA,WHEEL Steering,,2016-2017,"SRT, SRT ACR, SRT GTC, SRT GTS",10 Cyl 8.4L,,,,,"[-XR],[SCE]
[-XR],[SCE], [XSQ]",available,2330,1534.5,15.6 x 15.6 x 8.6 inches,5.10 Pounds,/parts/mopar-wheel-steering~6ez171xraa.html
2,5NP56LV5AA,COVER Steering Wheel Back,,2014-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,,"[-VV],[SCC] OR [SCG]
[-VV],[SCC] OR [SCG], [XSQ] AND/OR [AZA] AND/OR [MTR]
[-VX],[SCC] OR [SCG]
[-VX],[SCC] OR [SCG], [XSQ] AND/OR [AZA] AND/OR [MTR]...View More",available,782,515.9,13.0 x 9.3 x 4.3 inches,0.80 Pounds,/parts/mopar-cover-steering-wheel-back~5np56lv5aa.html
3,5LX37AAAAA,BEZEL Steering Wheel,,2014-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,,"[-R9],[SCC] OR [SCG], [XSQ] AND/OR [AZA] AND/OR [MTR]
[-V5],[SCC] OR [SCG], [XSQ] AND/OR [AZA] AND/OR [MTR]
[-V5],[SCJ], [XSQ]
[-VV],[SCC] OR [SCG], [XSQ] AND/OR [AZA] AND/OR [MTR]
[-VX],[SCC] OR [SCG], [XSQ] AND/OR [AZA] AND/OR [MTR]
[-VX],[SCJ], [XSQ]
[-X6],[SCC] OR [SCG], [XSQ] AND/OR [AZA] AND/OR [MTR]
[-X6],[SCJ], [XSQ]
[-X9],[SCC] OR [SCG], [XSQ] AND/OR [AZA] AND/OR [MTR]
[-X9],[SCE], [XSQ]
[-X9],[SCJ], [XSQ]
[-XR],[SCE], [XSQ]
[-XY],[SCJ], [XSQ]...View More",available,1570,1032.9,11.1 x 8.9 x 4.3 inches,1.30 Pounds,/parts/mopar-bezel-steering-wheel~5lx37aaaaa.html
3,5NP55LC6AA,BEZEL Steering Wheel,,"2016-2017, 2013","SRT, SRT ACR, SRT GTC, SRT GTS",10 Cyl 8.4L,,,5NP55DX8AA,,"[-R9],[SCC] OR [SCG]
[-VV],[SCC] OR [SCG]
[-VX],[SCC] OR [SCG]
[-X6],[SCC] OR [SCG]
[-X9],[SCC] OR [SCG]...View More",available,50.85,42.76,,0.70 Pounds,/parts/mopar-bezel-steering-wheel~5np55lc6aa.html
4,6507532AA,SCREW Hex Flange Head M10x1.5x35.,,,,,,,,,,discontinued,,,,,
