ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,68213894AF,LIFTGATE,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,"1UA861BUAE, 1UA865X8AE, 1UA864CCAE, 1UA862RKAE, 1UA86KL4AE, 1UA861RKAE, 1UA864BEAE, 1UA86BWAAD, 68213894AA, 68213894AE, 68110749AB, 68110749AC, 1UA864BEAD, 1UA863SCAE, 1UA864BUAE, 1UA865SCAE, 1UA86BWAAE, 1UA865CCAE, 1UA864SCAE, 1UA86LR7AE, 68110749AA, 1UA86JSCAE, 1UA864X8AE, 1UA864YRAE, 1UA865WAAE, 1UA862BUAE, 1UA865BUAE, 1UA861SCAE, 1UA864BEAC, 1UA864R7AE, 1UA86KBUAE",,discontinued,,,60.8 x 57.2 x 12.6 inches,30.70 Pounds,/parts/mopar-liftgate~68213894af.html
2,68141071AB,PANEL Liftgate Trim Upper,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,68141071AA,,available,141,108.84,15.6 x 9.8 x 1.3 inches,2.10 Pounds,/parts/mopar-panel-liftgate-trim-upper~68141071ab.html
3,6106103AA,SCREW M6x1x20,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,4,1,,,,available,3.65,2.5,4.1 x 2.9 x 0.4 inches,0.40 Pounds,/parts/mopar-screw~6106103aa.html
4,68159962AA,HINGE Liftgate,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,2,1,,,,discontinued,,,4.1 x 3.1 x 2.0 inches,0.70 Pounds,/parts/mopar-hinge-liftgate~68159962aa.html
5,6506710AA,SCREW AND WASHER Hex Head M8-1.25x22.00,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,2,1,,,,available,11.05,7.69,0.1 x 0.1 x 0.1 inches,0.40 Pounds,/parts/mopar-screw-hex-head~6506710aa.html
6,6509474AA,STUD,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,2,1,,,,available,4.95,3.44,1.4 x 0.6 x 0.6 inches,0.50 Pounds,/parts/mopar-stud~6509474aa.html
7,68252748AB,PROP Liftgate,,2015-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,2,1,,,[MES] AND/OR [ME1] AND/OR [MXH] AND/OR [MXN] AND/OR [MXM],available,50.35,35.01,17.2 x 8.8 x 5.7 inches,1.70 Pounds,/parts/mopar-prop-gas-liftgate~68252748ab.html
8,6509131AA,STUD,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,2,1,,,,available,20.85,14.5,2.0 x 1.1 x 1.1 inches,0.80 Pounds,/parts/mopar-stud~6509131aa.html
9,68186509AB,GASKET Ball Stud,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,2,1,,68186509AA,,available,8.95,6.23,1.2 x 1.2 x 0.3 inches,0.40 Pounds,/parts/mopar-gasket-ball-stud~68186509ab.html
10,6100051,NUT AND WASHER Hex Nut-Coned Washer M8 x 1.25,,"2013-2017, 1992-1996","GTS Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10","10 Cyl 8.0L, 10 Cyl 8.4L",2,1,,,,available,10.45,7.28,0.9 x 0.9 x 0.4 inches,0.50 Pounds,/parts/mopar-nut-hex-nut-coned-washer~6100051.html
