ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,68141985AG,FLAG Door,Left,2017,"SRT, SRT ACR, SRT GTC, SRT GTS",10 Cyl 8.4L,,,68141985AH,,,available,852,581.4,23.2 x 12.2 x 3.3 inches,1.80 Pounds,/parts/mopar-flag-door~68141985ag.html
4,68240385AB,BRACKET Air Bag,Left,2015-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,68240385AA,,available,50.2,35.01,10.5 x 6.3 x 6.8 inches,0.70 Pounds,/parts/mopar-bracket-air-bag~68240385ab.html
6,68164547AA,BRACKET Door Pull Cup,Left,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,,,available,41.95,29.3,4.9 x 2.6 x 2.2 inches,0.50 Pounds,/parts/mopar-bracket-door-pull-cup~68164547aa.html
8,4865611AI,REGULATOR Front Door Window,,"2013-2017, 2008-2010, 2005-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,"4865611AD, 4865611AC, 4865611AF, 4865611AG, 4865611AH, 4865611AE",Left [JP3],available,1175,770,38.1 x 20.7 x 3.9 inches,8.60 Pounds,/parts/mopar-regulator-front-door-window~4865611ai.html
10,68139715AB,LATCH Front Door,Left,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,68139715AA,,discontinued,,,5.2 x 5.2 x 7.2 inches,2.00 Pounds,/parts/mopar-latch-front-door~68139715ab.html
13,68096397AD,HANDLE Front Door Exterior,Left,2015-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,68096397AC,,discontinued,,,6.8 x 3.4 x 1.8 inches,0.90 Pounds,/parts/mopar-handle-front-door-exterior~68096397ad.html
15,1WE06DX8AB,COVER Handle,,2016-2017,"SRT, SRT ACR, SRT GTC, SRT GTS",10 Cyl 8.4L,,,,,"Right [X8T], [PX8]",available,128,85.84,5.3 x 2.1 x 2.0 inches,0.70 Pounds,/parts/mopar-cover-handle~1we06dx8ab.html
15,1WE06JSCAB,COVER Handle,,2016-2017,"SRT, SRT ACR, SRT GTC, SRT GTS",10 Cyl 8.4L,,,,,"Right [X8T], [PSC]",available,128,85.89,5.2 x 2.0 x 2.0 inches,0.70 Pounds,/parts/mopar-cover-handle~1we06jscab.html
15,1WE06KBUAB,COVER Handle,,2016-2017,"SRT, SRT ACR, SRT GTC, SRT GTS",10 Cyl 8.4L,,,,,"Right [X8T], [PBU]",available,128,85.89,5.2 x 2.1 x 2.1 inches,0.70 Pounds,/parts/mopar-cover-handle~1we06kbuab.html
15,1WE06KY5AB,COVER Handle,,2016-2017,"SRT, SRT ACR, SRT GTC, SRT GTS",10 Cyl 8.4L,,,,,"Right [X8T], [PY5]",available,192,129.38,5.1 x 2.0 x 2.1 inches,0.70 Pounds,/parts/mopar-cover-handle~1we06ky5ab.html
15,1WE06LBDAB,COVER Handle,,2016-2017,"SRT, SRT ACR, SRT GTC, SRT GTS",10 Cyl 8.4L,,,,,"Right [X8T], [PBD]",available,128,85.89,5.3 x 2.1 x 2.1 inches,0.70 Pounds,/parts/mopar-cover-handle~1we06lbdab.html
15,1WE06LCCAB,COVER Handle,,2016-2017,"SRT, SRT ACR, SRT GTC, SRT GTS",10 Cyl 8.4L,,,,,"Right [X8T], [PCC]",available,128,85.84,5.2 x 2.1 x 2.1 inches,0.70 Pounds,/parts/mopar-cover-handle~1we06lccab.html
15,1WE06LKCAB,COVER Handle,,2016-2017,"SRT, SRT ACR, SRT GTC, SRT GTS",10 Cyl 8.4L,,,,,"Right [X8T], [PKC]",available,282,190.13,5.2 x 2.1 x 2.0 inches,0.70 Pounds,/parts/mopar-cover-handle~1we06lkcab.html
15,1WE06LR7AB,COVER Handle,,2016-2017,"SRT, SRT ACR, SRT GTC, SRT GTS",10 Cyl 8.4L,,,,,"Right [X8T], [PR7]",available,152,102.09,5.1 x 2.1 x 2.1 inches,0.70 Pounds,/parts/mopar-cover-handle~1we06lr7ab.html
15,1WE06MAGAB,COVER Handle,,2016-2017,"SRT, SRT ACR, SRT GTC, SRT GTS",10 Cyl 8.4L,,,,,"Right [X8T], [PAG]",available,194,130.5,5.3 x 2.0 x 2.1 inches,0.70 Pounds,/parts/mopar-cover-handle~1we06magab.html
15,1WE06NHLAB,COVER Handle,,2016-2017,"SRT, SRT ACR, SRT GTC, SRT GTS",10 Cyl 8.4L,,,,,"Right [X8T], [PHL]",available,269,181.13,5.1 x 2.0 x 2.1 inches,0.70 Pounds,/parts/mopar-cover-handle~1we06nhlab.html
