ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,56029713AC,SENSOR Battery,,2016-2017,"SRT, SRT ACR, SRT GTC, SRT GTS",10 Cyl 8.4L,,,56029713AD,,,available,187,124.88,5.5 x 4.3 x 3.4 inches,0.80 Pounds,/parts/mopar-sensor-battery~56029713ac.html
2,6104182AA,SCREW Hex Flange Head M6X1.0X25.00,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,2,1,,"6104007AA, 5179718AA",,available,7,4.83,1.3 x 0.5 x 0.5 inches,0.40 Pounds,/parts/mopar-screw-hex-flange-head~6104182aa.html
3,56054085AA,SENSOR Acceleration,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,4,1,,,,available,294,195.75,1.8 x 2.6 x 3.7 inches,0.50 Pounds,/parts/mopar-sensor-acceleration~56054085aa.html
4,56054036AB,SENSOR Seat Position,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,"68206497AA, 56054036AA",,available,30.8,21.32,3.8 x 2.6 x 1.9 inches,0.50 Pounds,/parts/mopar-sensor-seat-position~56054036ab.html
5,56054036AB,SENSOR Seat Position,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,"68206497AA, 56054036AA",,available,30.8,21.32,3.8 x 2.6 x 1.9 inches,0.50 Pounds,/parts/mopar-sensor-seat-position~56054036ab.html
6,56029400AE,SENSOR Tire Pressure,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,4,1,68374924AB,,,available,99.1,70.99,1.2 x 2.9 x 3.4 inches,0.50 Pounds,/parts/mopar-sensor-tire-pressure~56029400ae.html
7,56053037AB,NUT Tire Pressure Sensor,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,4,1,,"56053037AA, 68374925AA",,available,11.05,7.69,1.0 x 0.8 x 0.7 inches,0.40 Pounds,/parts/mopar-nut-tire-pressure-sensor~56053037ab.html
8,6510139AA,PUSH PIN M7.0X17.0,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,,,available,3.75,2.56,1.5 x 1.0 x 0.9 inches,0.40 Pounds,/parts/mopar-push-pin~6510139aa.html
9,5149265AB,SENSOR Ambient Temperature,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,68518243AA,,,available,69.85,48.81,1.4 x 2.1 x 2.2 inches,0.40 Pounds,/parts/mopar-sensor-ambient-temperature~5149265ab.html
10,68230114AB,SENSOR Sun,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,"55111902AA, 68230114AA, 55111902AB, 55111275AA",,available,103,69.53,1.2 x 1.2 x 1.6 inches,0.40 Pounds,/parts/mopar-sensor-sun~68230114ab.html
11,55111178AC,SENSOR Temperature Cabin Air,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,55111178AD,,,available,141,94.89,1.9 x 1.9 x 2.8 inches,0.50 Pounds,/parts/mopar-sensor-temperature-cabin-air~55111178ac.html
