ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,5149064AA,SENDING UNIT Oil Pressure,,"2014-2017, 2008-2010","COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,,,5149064AB,,,available,85.7,57.83,2.5 x 2.0 x 1.4 inches,0.50 Pounds,/parts/mopar-switch-oil-pressure~5149064aa.html
2,5149077AB,SENSOR Fluid Temperature,,"2013-2017, 2009-2010","COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,,,,5149096AB,,available,67.9,47.24,1.9 x 2.6 x 3.7 inches,0.50 Pounds,/parts/mopar-sensor-fluid-temperature~5149077ab.html
3,5037678AC,SHIELD Sensor,,"2013-2017, 2008-2010, 2006","COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,"5037678AA, 5037678AB",,available,35.35,24.82,3.7 x 2.8 x 2.2 inches,0.70 Pounds,/parts/mopar-shield-crank-position-sensor~5037678ac.html
4,6508686AA,STUD Double Ended,,2016-2017,"SRT, SRT ACR, SRT GTC, SRT GTS",10 Cyl 8.4L,,,,,,available,6.45,4.43,2.2 x 0.5 x 0.5 inches,0.40 Pounds,/parts/mopar-stud-double-ended~6508686aa.html
5,5033307AC,SENSOR Crankshaft Position,,"2016-2017, 2013-2014, 2008-2010","COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,,,5033307AE,,,available,133,95.97,1.3 x 1.8 x 2.6 inches,0.40 Pounds,/parts/mopar-sensor-crankshaft-position~5033307ac.html
6,6505316AA,NUT Hex Flange Lock M6X1.00,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,,,available,7.8,5.3,0.6 x 0.9 x 1.1 inches,0.40 Pounds,/parts/mopar-nut-hex-flange-lock~6505316aa.html
7,68056417AA,SWITCH Back Up Lamp,,2016-2017,"SRT, SRT ACR, SRT GTC, SRT GTS",10 Cyl 8.4L,,,68294034AA,,,available,238,157.5,13.1 x 2.0 x 1.4 inches,0.60 Pounds,/parts/mopar-switch-back-up-lamp~68056417aa.html
8,68029166AA,SOLENOID Transmission Skip Shift,,"2013-2017, 2008-2010, 2002-2006, 1992-2000","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",,,,4626572,,available,226,150.75,4.8 x 4.2 x 2.1 inches,0.80 Pounds,/parts/mopar-solenoid-transmission-skip-shift~68029166aa.html
9,4762008,BOLT,,,,,,,,,,discontinued,,,,,
10,68029168AA,SOLENOID ASSEMBLY Reverse Lockout,,"2013-2017, 2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",,,,"68029167AA, 4762005AB, 4746271, 4762005",,available,388,273.13,6.4 x 5.3 x 4.1 inches,1.30 Pounds,/parts/mopar-solenoid-reverse-lockout~68029168aa.html
11,5149054AC,SENSOR Camshaft,,"2013-2017, 2008-2010","COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,,,,"5149054AA, 5149054AB",,available,51.7,36.12,1.5 x 2.1 x 3.6 inches,0.50 Pounds,/parts/mopar-sensor-camshaft~5149054ac.html
12,6502993,BOLT Hex Flange Head M6x1.00x12.00,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,,,available,3.1,2.1,0.7 x 0.5 x 0.5 inches,0.40 Pounds,/parts/mopar-bolt-hex-flange-head~6502993.html
13,6101759,SCREW AND WASHER Hex Head M8x1.25x35,,2016-2017,"SRT, SRT ACR, SRT GTC, SRT GTS",10 Cyl 8.4L,2,1,,,,available,3.1,2.1,1.6 x 0.8 x 0.8 inches,0.40 Pounds,/parts/mopar-screw-hex-head~6101759.html
14,5033316AB,SENSOR Knock,,"2013-2017, 2008-2010, 2005-2006","COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,"5033316AA, 56028563AA",,available,194,129.38,1.1 x 1.3 x 2.0 inches,0.50 Pounds,/parts/mopar-sensor-knock~5033316ab.html
15,5149077AB,SENSOR Fluid Temperature,,"2013-2017, 2009-2010","COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,,,,5149096AB,,available,67.9,47.24,1.9 x 2.6 x 3.7 inches,0.50 Pounds,/parts/mopar-sensor-fluid-temperature~5149077ab.html
