ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,5NH75DX9AB,BASE Floor Console,,2014-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,5NH75DX9AA,"[-X9], [CMH]",available,847,558.8,40.4 x 17.2 x 7.1 inches,25.00 Pounds,/parts/mopar-base-floor-console~5nh75dx9ab.html
1,5NH75LR9AB,BASE Floor Console,,2015-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,5NH75LR9AA,"[-X6], [CMH]",available,1120,738.1,40.3 x 12.4 x 4.7 inches,6.00 Pounds,/parts/mopar-base-floor-console~5nh75lr9ab.html
1,5NH75LV5AB,BASE Floor Console,,2015-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,5NH75LV5AA,"[-VX], [CMH]",available,1100,723.8,39.9 x 17.2 x 7.9 inches,8.30 Pounds,/parts/mopar-base-floor-console~5nh75lv5ab.html
1,5NH76DX9AB,BASE Floor Console,,2014-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,5NH76DX9AA,"[-X9], [CM5]",available,1100,723.8,39.8 x 17.3 x 7.1 inches,6.00 Pounds,/parts/mopar-base-floor-console~5nh76dx9ab.html
1,5NH76LR9AB,BASE Floor Console,,2015-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,5NH76LR9AA,"[-R9], [CM5]",available,1100,723.8,40.0 x 17.3 x 7.1 inches,7.20 Pounds,/parts/mopar-base-floor-console~5nh76lr9ab.html
1,5NH76LV5AB,BASE Floor Console,,"2016-2017, 2014","SRT, SRT ACR, SRT GTC, SRT GTS",10 Cyl 8.4L,,,,5NH76LV5AA,"[-VV], [CM5]",available,926,609.4,40.8 x 17.3 x 7.1 inches,7.70 Pounds,/parts/mopar-base-floor-console~5nh76lv5ab.html
1,6BD55XR4AA,BASE Floor Console,,2016-2017,"SRT, SRT ACR, SRT GTC, SRT GTS",10 Cyl 8.4L,,,,,"[-XR], [CUC]",available,1605,1054.9,40.4 x 16.2 x 7.2 inches,11.60 Pounds,/parts/mopar-base-floor-console~6bd55xr4aa.html
1,6BD55YSAAA,BASE Floor Console,,2016-2017,"SRT, SRT ACR, SRT GTC, SRT GTS",10 Cyl 8.4L,,,,,"[-X9], [CUC]",available,1435,942.7,41.6 x 16.5 x 9.2 inches,11.60 Pounds,/parts/mopar-base-floor-console~6bd55ysaaa.html
2,5LV74DX9AC,PANEL Instrument Lower Right,,"2017, 2015, 2013","SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,"5LV74DX9AA, 5LV74DX9AB","[-X9], [JAC]",available,520,355.68,15.5 x 14.8 x 5.6 inches,2.00 Pounds,/parts/mopar-bezel-instrument-lower~5lv74dx9ac.html
2,5LV74LR9AC,PANEL Instrument Lower Right,,2015-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,5LV74LR9AB,"[-R9], [JAC]",available,477,322.61,15.8 x 14.6 x 5.4 inches,2.20 Pounds,/parts/mopar-bezel-instrument-lower~5lv74lr9ac.html
2,5LV74LV5AC,PANEL Instrument Lower Right,,"2015-2017, 2013","SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,"5LV74LV5AB, 5LV74LV5AA","[-VV], [JAC]",available,520,355.68,15.6 x 14.5 x 5.5 inches,2.20 Pounds,/parts/mopar-bezel-instrument-lower~5lv74lv5ac.html
2,5SJ72DX9AB,PANEL Instrument Lower Right,,2015-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,5SJ72DX9AA,"[-V5], [JAP] Or [JKQ] Or [MTR] Or [JAA]
[-VX], [JAP] Or [JKQ] Or [MTR] Or [JAA]
[-X6], [JAP] Or [JKQ] Or [MTR] Or [JAA]
[-X9], [JAP] Or [JKQ] Or [MTR] Or [JAA]
[-XR], [JAP] Or [JKQ] Or [MTR] Or [JAA]
[-XY], [JAP] Or [JKQ] Or [MTR] Or [JAA]...View More",available,749,511.86,12.7 x 10.0 x 2.3 inches,1.30 Pounds,/parts/mopar-bezel-instrument-lower~5sj72dx9ab.html
3,5SJ73DX9AA,PANEL Instrument Lower Left,,2016-2017,"SRT, SRT ACR, SRT GTC, SRT GTS",10 Cyl 8.4L,,,,,"[-V5], [JAA] Or [JAP] Or [JKQ] Or [MTR]
[-VX], [JAA] Or [JAP] Or [JKQ] Or [MTR]
[-X6], [JAA] Or [JAP] Or [JKQ] Or [MTR]
[-X9], [JAA] Or [JAP] Or [JKQ] Or [MTR]
[-XR], [JAA] Or [JAP] Or [JKQ] Or [MTR]
[-XY], [JAA] Or [JAP] Or [JKQ] Or [MTR]...View More",available,605,399.3,12.6 x 10.0 x 2.3 inches,1.20 Pounds,/parts/mopar-bezel-instrument-lower~5sj73dx9aa.html
4,1WT421V5AD,PANEL Bulkhead Trim,,2015-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,"1WT421V5AB, 1WT421V5AC","[-V5], [CMH]",available,2260,1531.15,20.3 x 17.2 x 10.6 inches,11.60 Pounds,/parts/mopar-console-bulkhead-trim~1wt421v5ad.html
4,1WT42LR9AD,PANEL Bulkhead Trim,,2015-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,1WT42LR9AC,"[-X6], [CMH]",available,2210,1497.25,20.7 x 20.2 x 6.4 inches,3.40 Pounds,/parts/mopar-console-bulkhead-trim~1wt42lr9ad.html
4,1WT42LV5AD,PANEL Bulkhead Trim,,2015-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,,,,1WT42LV5AC,"[-VX], [CMH]",available,2210,1497.25,20.4 x 17.3 x 10.6 inches,3.90 Pounds,/parts/mopar-console-bulkhead-trim~1wt42lv5ad.html
